Load earlier flights,,,,,,,
Loading...,,,,,,,
"Sorry, we don't have any information about flights for this airport",,,,,,,
Departed 10:56 06:54 DL4238 Minneapolis(MSP) CRJ7N712EVDelta Connection -,,,,,,,
Departed 14:49 14:41 DL4262 Minneapolis(MSP) CRJ7N625CADelta Connection -,,,,,,,
Departed 15:53 15:45  Yankton(YKN) C441N441CT -,,,,,,,
Departed 15:58 16:00 MWT100 Sioux Falls(FSD) BE9LN100QTMidwest Aviation Division -,,,,,,,
Departed 19:08 19:30 AIP1573 Sioux Falls(FSD) B190N114AXAlpine Air Express -,,,,,,,
Departed 19:02 19:32 IRO7551 Sioux Falls(FSD) C208N752FEFedEx Feeder -,,,,,,,
Departed 07:22 06:54 DL4238 Minneapolis(MSP) CRJ7N603SKSkyWest Airlines -,,,,,,,
Departed 08:18 08:00  Minot(MOT) C425N425XP -,,,,,,,
Departed 09:15 09:00  Sioux Falls(FSD) C25MN898GT -,,,,,,,
Departed 09:03 09:00  Scottsdale(SCF) CL30N91PR -,,,,,,,
Estimated dep.  10:10 10:00  Britton(TTO) B350N385H -,,,,,,,
Estimated dep.  14:41 14:41 DL4262 Minneapolis(MSP) CRJ7N741EVSkyWest Airlines -,,,,,,,
Estimated dep.  19:32 19:32 IRO7551 Sioux Falls(FSD) C208CSA Air -,,,,,,,
Estimated dep.  06:59 06:54 DL4238 Minneapolis(MSP) CRJ7N625CADelta Connection -,,,,,,,
Scheduled  14:41 DL4262 Minneapolis(MSP) CRJ7N625CADelta Connection -,,,,,,,
"Monday, Mar 04",,,,,,,
06:54,DL4238,Minneapolis (MSP)-,Delta Connection -,CRJ7 (N712EV),,Departed 10:56,"Monday, Mar 04 2024"
14:41,DL4262,Minneapolis (MSP)-,Delta Connection -,CRJ7 (N625CA),,Departed 14:49,"Monday, Mar 04 2024"
15:45,,Yankton (YKN)-,-,C441 (N441CT),,Departed 15:53,"Monday, Mar 04 2024"
16:00,MWT100,Sioux Falls (FSD)-,Midwest Aviation Division -,BE9L (N100QT),,Departed 15:58,"Monday, Mar 04 2024"
19:30,AIP1573,Sioux Falls (FSD)-,Alpine Air Express -,B190 (N114AX),,Departed 19:08,"Monday, Mar 04 2024"
19:32,IRO7551,Sioux Falls (FSD)-,FedEx Feeder -,C208 (N752FE),,Departed 19:02,"Monday, Mar 04 2024"
"Tuesday, Mar 05",,,,,,,"Monday, Mar 04 2024"
06:54,DL4238,Minneapolis (MSP)-,SkyWest Airlines -,CRJ7 (N603SK),,Departed 07:22,"Tuesday, Mar 05 2024"
08:00,,Minot (MOT)-,-,C425 (N425XP),,Departed 08:18,"Tuesday, Mar 05 2024"
09:00,,Sioux Falls (FSD)-,-,C25M (N898GT),,Departed 09:15,"Tuesday, Mar 05 2024"
09:00,,Scottsdale (SCF)-,-,CL30 (N91PR),,Departed 09:03,"Tuesday, Mar 05 2024"
10:00,,Britton (TTO)-,-,B350 (N385H),,Estimated dep.  10:10,"Tuesday, Mar 05 2024"
14:41,DL4262,Minneapolis (MSP)-,SkyWest Airlines -,CRJ7 (N741EV),,Estimated dep.  14:41,"Tuesday, Mar 05 2024"
19:32,IRO7551,Sioux Falls (FSD)-,CSA Air -,C208 (),,Estimated dep.  19:32,"Tuesday, Mar 05 2024"
"Wednesday, Mar 06",,,,,,,"Tuesday, Mar 05 2024"
06:54,DL4238,Minneapolis (MSP)-,Delta Connection -,CRJ7 (N625CA),,Estimated dep.  06:59,"Wednesday, Mar 06 2024"
14:41,DL4262,Minneapolis (MSP)-,Delta Connection -,CRJ7 (N625CA),,Scheduled,"Wednesday, Mar 06 2024"
Load later flights,,,,,,,"Wednesday, Mar 06 2024"
* All times are in local timezone,,,,,,,"Wednesday, Mar 06 2024"
Load earlier flights,,,,,,,"Wednesday, Mar 06 2024"
Loading...,,,,,,,"Wednesday, Mar 06 2024"
"Sorry, we don't have any information about flights for this airport",,,,,,,"Wednesday, Mar 06 2024"
Departed 23:41 22:30 AA9868 Dallas(DFW) E170N791DKAmerican Eagle -,,,,,,,"Wednesday, Mar 06 2024"
Departed 05:11 05:11 AA3706 Dallas(DFW) E75LN237NNAmerican Eagle -,,,,,,,"Wednesday, Mar 06 2024"
Departed 06:35 06:30 AA3647 Dallas(DFW) E75LN235NNAmerican Eagle -,,,,,,,"Wednesday, Mar 06 2024"
Departed 07:52 08:00  Midland(MAF) C525N909DP -,,,,,,,"Wednesday, Mar 06 2024"
Departed 08:44 08:30  Midland(MAF) BE20N806KM -,,,,,,,"Wednesday, Mar 06 2024"
Departed 10:41 10:29 AA3407 Dallas(DFW) E170N646RWAmerican Eagle -,,,,,,,"Wednesday, Mar 06 2024"
Estimated dep.  11:06 11:00 EJA943 Midland(MDD) -NetJets -,,,,,,,"Wednesday, Mar 06 2024"
Departed 14:36 14:46 AA3408 Dallas(DFW) E75LN230NNAmerican Eagle -,,,,,,,"Wednesday, Mar 06 2024"
Departed 16:22 16:00  Fort Worth(FTW) C525N909DP -,,,,,,,"Wednesday, Mar 06 2024"
Departed 18:15 17:30  Fort Worth(FTW) C560N917TL -,,,,,,,"Wednesday, Mar 06 2024"
Departed 17:08 17:55  Denton(QQD) C172N62296 -,,,,,,,"Wednesday, Mar 06 2024"
Departed 18:11 18:18 AA3405 Dallas(DFW) E75LN444YXAmerican Eagle -,,,,,,,"Wednesday, Mar 06 2024"
Departed 18:46 19:13 BVN7793 Lubbock(LBB) C208N970FEFedEx Feeder -,,,,,,,"Wednesday, Mar 06 2024"
Departed 19:31 19:15 MRA666 Dallas(DFW) C208N1119VMartinaire -,,,,,,,"Wednesday, Mar 06 2024"
