Load earlier flights,,,,,,,Cedar Key George T. Lewis Airport(CDK/KCDK)
Loading...,,,,,,,Cedar Key George T. Lewis Airport(CDK/KCDK)
"Sorry, we don't have any information about flights for this airport",,,,,,,Cedar Key George T. Lewis Airport(CDK/KCDK)
Scheduled  11:49  St. Petersburg(PIE) SLG4N991AP -,,,,,,,Cedar Key George T. Lewis Airport(CDK/KCDK)
Scheduled  11:49  St. Petersburg(PIE) SLG4N991AP -,,,,,,,Cedar Key George T. Lewis Airport(CDK/KCDK)
Scheduled  11:49  St. Petersburg(PIE) SLG4N991AP -,,,,,,,Cedar Key George T. Lewis Airport(CDK/KCDK)
Scheduled  11:49  St. Petersburg(PIE) SLG4N991AP -,,,,,,,Cedar Key George T. Lewis Airport(CDK/KCDK)
Scheduled  11:49  St. Petersburg(PIE) SLG4N991AP -,,,,,,,Cedar Key George T. Lewis Airport(CDK/KCDK)
Scheduled  11:49  St. Petersburg(PIE) SLG4N991AP -,,,,,,,Cedar Key George T. Lewis Airport(CDK/KCDK)
"Wednesday, Mar 13",,,,,,,Cedar Key George T. Lewis Airport(CDK/KCDK)
11:49,,St. Petersburg (PIE)-,-,SLG4 (N991AP),,Scheduled,Cedar Key George T. Lewis Airport(CDK/KCDK),"Wednesday, Mar 13 2024"
11:49,,St. Petersburg (PIE)-,-,SLG4 (N991AP),,Scheduled,Cedar Key George T. Lewis Airport(CDK/KCDK),"Wednesday, Mar 13 2024"
11:49,,St. Petersburg (PIE)-,-,SLG4 (N991AP),,Scheduled,Cedar Key George T. Lewis Airport(CDK/KCDK),"Wednesday, Mar 13 2024"
11:49,,St. Petersburg (PIE)-,-,SLG4 (N991AP),,Scheduled,Cedar Key George T. Lewis Airport(CDK/KCDK),"Wednesday, Mar 13 2024"
11:49,,St. Petersburg (PIE)-,-,SLG4 (N991AP),,Scheduled,Cedar Key George T. Lewis Airport(CDK/KCDK),"Wednesday, Mar 13 2024"
11:49,,St. Petersburg (PIE)-,-,SLG4 (N991AP),,Scheduled,Cedar Key George T. Lewis Airport(CDK/KCDK),"Wednesday, Mar 13 2024"
Load later flights,,,,,,,Cedar Key George T. Lewis Airport(CDK/KCDK),"Wednesday, Mar 13 2024"
* All times are in local timezone,,,,,,,Cedar Key George T. Lewis Airport(CDK/KCDK),"Wednesday, Mar 13 2024"
