Load earlier flights,,,,,,,Crawfordsville Regional Airport(QTJ/KCFJ)
Loading...,,,,,,,Crawfordsville Regional Airport(QTJ/KCFJ)
"Sorry, we don't have any information about flights for this airport",,,,,,,Crawfordsville Regional Airport(QTJ/KCFJ)
Diverted to  IND  16:44  Indianapolis(IND) DA40N854L -,,,,,,,Crawfordsville Regional Airport(QTJ/KCFJ)
Diverted to  IND  16:44  Indianapolis(IND) DA40N854L -,,,,,,,Crawfordsville Regional Airport(QTJ/KCFJ)
Diverted to  IND  16:44  Indianapolis(IND) DA40N854L -,,,,,,,Crawfordsville Regional Airport(QTJ/KCFJ)
Diverted to  IND  16:44  Indianapolis(IND) DA40N854L -,,,,,,,Crawfordsville Regional Airport(QTJ/KCFJ)
Diverted to  IND  16:44  Indianapolis(IND) DA40N854L -,,,,,,,Crawfordsville Regional Airport(QTJ/KCFJ)
"Tuesday, Mar 12",,,,,,,Crawfordsville Regional Airport(QTJ/KCFJ)
16:44,,Indianapolis (IND)-,-,DA40 (N854L),,Diverted to  IND,Crawfordsville Regional Airport(QTJ/KCFJ),"Tuesday, Mar 12 2024"
16:44,,Indianapolis (IND)-,-,DA40 (N854L),,Diverted to  IND,Crawfordsville Regional Airport(QTJ/KCFJ),"Tuesday, Mar 12 2024"
16:44,,Indianapolis (IND)-,-,DA40 (N854L),,Diverted to  IND,Crawfordsville Regional Airport(QTJ/KCFJ),"Tuesday, Mar 12 2024"
16:44,,Indianapolis (IND)-,-,DA40 (N854L),,Diverted to  IND,Crawfordsville Regional Airport(QTJ/KCFJ),"Tuesday, Mar 12 2024"
16:44,,Indianapolis (IND)-,-,DA40 (N854L),,Diverted to  IND,Crawfordsville Regional Airport(QTJ/KCFJ),"Tuesday, Mar 12 2024"
Load later flights,,,,,,,Crawfordsville Regional Airport(QTJ/KCFJ),"Tuesday, Mar 12 2024"
* All times are in local timezone,,,,,,,Crawfordsville Regional Airport(QTJ/KCFJ),"Tuesday, Mar 12 2024"
