Load earlier flights,,,,,,,Afton Municipal Airport(AFO/KAFO),
Loading...,,,,,,,Afton Municipal Airport(AFO/KAFO),
"Sorry, we don't have any information about flights for this airport",,,,,,,Afton Municipal Airport(AFO/KAFO),
Canceled  17:02  Rock Springs(RKS) BE20N999MM -,,,,,,,Afton Municipal Airport(AFO/KAFO),
Landed 12:27 13:06  Evanston(EVW) BE20N999MM -,,,,,,,Afton Municipal Airport(AFO/KAFO),
Landed 16:42 17:06  Concord(CCR) C510N1744Z -,,,,,,,Afton Municipal Airport(AFO/KAFO),
Canceled  17:02  Rock Springs(RKS) BE20N999MM -,,,,,,,Afton Municipal Airport(AFO/KAFO),
Landed 12:27 13:06  Evanston(EVW) BE20N999MM -,,,,,,,Afton Municipal Airport(AFO/KAFO),
Landed 16:42 17:06  Concord(CCR) C510N1744Z -,,,,,,,Afton Municipal Airport(AFO/KAFO),
Canceled  17:02  Rock Springs(RKS) BE20N999MM -,,,,,,,Afton Municipal Airport(AFO/KAFO),
Landed 12:27 13:06  Evanston(EVW) BE20N999MM -,,,,,,,Afton Municipal Airport(AFO/KAFO),
Landed 16:42 17:06  Concord(CCR) C510N1744Z -,,,,,,,Afton Municipal Airport(AFO/KAFO),
Canceled  17:02  Rock Springs(RKS) BE20N999MM -,,,,,,,Afton Municipal Airport(AFO/KAFO),
Landed 12:27 13:06  Evanston(EVW) BE20N999MM -,,,,,,,Afton Municipal Airport(AFO/KAFO),
Landed 16:42 17:06  Concord(CCR) C510N1744Z -,,,,,,,Afton Municipal Airport(AFO/KAFO),
Canceled  17:02  Rock Springs(RKS) BE20N999MM -,,,,,,,Afton Municipal Airport(AFO/KAFO),
Landed 12:27 13:06  Evanston(EVW) BE20N999MM -,,,,,,,Afton Municipal Airport(AFO/KAFO),
Landed 16:42 17:06  Concord(CCR) C510N1744Z -,,,,,,,Afton Municipal Airport(AFO/KAFO),
"Monday, Mar 11",,,,,,,Afton Municipal Airport(AFO/KAFO),
17:02,,Rock Springs (RKS)-,-,BE20 (N999MM),,Canceled,Afton Municipal Airport(AFO/KAFO),
"Tuesday, Mar 12",,,,,,,Afton Municipal Airport(AFO/KAFO),
13:06,,Evanston (EVW)-,-,BE20 (N999MM),,Landed 12:27,Afton Municipal Airport(AFO/KAFO),
17:06,,Concord (CCR)-,-,C510 (N1744Z),,Landed 16:42,Afton Municipal Airport(AFO/KAFO),
"Monday, Mar 11",,,,,,,Afton Municipal Airport(AFO/KAFO),
17:02,,Rock Springs (RKS)-,-,BE20 (N999MM),,Canceled,Afton Municipal Airport(AFO/KAFO),
"Tuesday, Mar 12",,,,,,,Afton Municipal Airport(AFO/KAFO),
13:06,,Evanston (EVW)-,-,BE20 (N999MM),,Landed 12:27,Afton Municipal Airport(AFO/KAFO),
17:06,,Concord (CCR)-,-,C510 (N1744Z),,Landed 16:42,Afton Municipal Airport(AFO/KAFO),
"Monday, Mar 11",,,,,,,Afton Municipal Airport(AFO/KAFO),
17:02,,Rock Springs (RKS)-,-,BE20 (N999MM),,Canceled,Afton Municipal Airport(AFO/KAFO),
"Tuesday, Mar 12",,,,,,,Afton Municipal Airport(AFO/KAFO),
13:06,,Evanston (EVW)-,-,BE20 (N999MM),,Landed 12:27,Afton Municipal Airport(AFO/KAFO),
17:06,,Concord (CCR)-,-,C510 (N1744Z),,Landed 16:42,Afton Municipal Airport(AFO/KAFO),
"Monday, Mar 11",,,,,,,Afton Municipal Airport(AFO/KAFO),
17:02,,Rock Springs (RKS)-,-,BE20 (N999MM),,Canceled,Afton Municipal Airport(AFO/KAFO),
"Tuesday, Mar 12",,,,,,,Afton Municipal Airport(AFO/KAFO),
13:06,,Evanston (EVW)-,-,BE20 (N999MM),,Landed 12:27,Afton Municipal Airport(AFO/KAFO),
17:06,,Concord (CCR)-,-,C510 (N1744Z),,Landed 16:42,Afton Municipal Airport(AFO/KAFO),
"Monday, Mar 11",,,,,,,Afton Municipal Airport(AFO/KAFO),
17:02,,Rock Springs (RKS)-,-,BE20 (N999MM),,Canceled,Afton Municipal Airport(AFO/KAFO),
"Tuesday, Mar 12",,,,,,,Afton Municipal Airport(AFO/KAFO),
13:06,,Evanston (EVW)-,-,BE20 (N999MM),,Landed 12:27,Afton Municipal Airport(AFO/KAFO),
17:06,,Concord (CCR)-,-,C510 (N1744Z),,Landed 16:42,Afton Municipal Airport(AFO/KAFO),
Load later flights,,,,,,,Afton Municipal Airport(AFO/KAFO),
* All times are in local timezone,,,,,,,Afton Municipal Airport(AFO/KAFO),
