Load earlier flights,,,,,,,Kelso Southwest Washington Regional Airport(KLS/KKLS)
Loading...,,,,,,,Kelso Southwest Washington Regional Airport(KLS/KKLS)
"Sorry, we don't have any information about flights for this airport",,,,,,,Kelso Southwest Washington Regional Airport(KLS/KKLS)
Landed 03:52 03:54  Seattle(BFI) PC12N886LF -,,,,,,,Kelso Southwest Washington Regional Airport(KLS/KKLS)
Landed 03:52 03:54  Seattle(BFI) PC12N886LF -,,,,,,,Kelso Southwest Washington Regional Airport(KLS/KKLS)
Landed 03:52 03:54  Seattle(BFI) PC12N886LF -,,,,,,,Kelso Southwest Washington Regional Airport(KLS/KKLS)
Landed 03:52 03:54  Seattle(BFI) PC12N886LF -,,,,,,,Kelso Southwest Washington Regional Airport(KLS/KKLS)
Landed 03:52 03:54  Seattle(BFI) PC12N886LF -,,,,,,,Kelso Southwest Washington Regional Airport(KLS/KKLS)
"Tuesday, Mar 12",,,,,,,Kelso Southwest Washington Regional Airport(KLS/KKLS)
03:54,,Seattle (BFI)-,-,PC12 (N886LF),,Landed 03:52,Kelso Southwest Washington Regional Airport(KLS/KKLS),"Tuesday, Mar 12 2024"
03:54,,Seattle (BFI)-,-,PC12 (N886LF),,Landed 03:52,Kelso Southwest Washington Regional Airport(KLS/KKLS),"Tuesday, Mar 12 2024"
03:54,,Seattle (BFI)-,-,PC12 (N886LF),,Landed 03:52,Kelso Southwest Washington Regional Airport(KLS/KKLS),"Tuesday, Mar 12 2024"
03:54,,Seattle (BFI)-,-,PC12 (N886LF),,Landed 03:52,Kelso Southwest Washington Regional Airport(KLS/KKLS),"Tuesday, Mar 12 2024"
03:54,,Seattle (BFI)-,-,PC12 (N886LF),,Landed 03:52,Kelso Southwest Washington Regional Airport(KLS/KKLS),"Tuesday, Mar 12 2024"
Load later flights,,,,,,,Kelso Southwest Washington Regional Airport(KLS/KKLS),"Tuesday, Mar 12 2024"
* All times are in local timezone,,,,,,,Kelso Southwest Washington Regional Airport(KLS/KKLS),"Tuesday, Mar 12 2024"
