Load earlier flights,,,,,,,Borger Hutchinson County Airport(BGD/KBGD)
Loading...,,,,,,,Borger Hutchinson County Airport(BGD/KBGD)
"Sorry, we don't have any information about flights for this airport",,,,,,,Borger Hutchinson County Airport(BGD/KBGD)
Departed 15:57 15:30  Las Vegas(LAS) C56XN5150V -,,,,,,,Borger Hutchinson County Airport(BGD/KBGD)
Departed 15:57 15:30  Las Vegas(LAS) C56XN5150V -,,,,,,,Borger Hutchinson County Airport(BGD/KBGD)
Departed 15:57 15:30  Las Vegas(LAS) C56XN5150V -,,,,,,,Borger Hutchinson County Airport(BGD/KBGD)
Departed 15:57 15:30  Las Vegas(LAS) C56XN5150V -,,,,,,,Borger Hutchinson County Airport(BGD/KBGD)
Departed 15:57 15:30  Las Vegas(LAS) C56XN5150V -,,,,,,,Borger Hutchinson County Airport(BGD/KBGD)
"Tuesday, Mar 12",,,,,,,Borger Hutchinson County Airport(BGD/KBGD)
15:30,,Las Vegas (LAS)-,-,C56X (N5150V),,Departed 15:57,Borger Hutchinson County Airport(BGD/KBGD),"Tuesday, Mar 12 2024"
15:30,,Las Vegas (LAS)-,-,C56X (N5150V),,Departed 15:57,Borger Hutchinson County Airport(BGD/KBGD),"Tuesday, Mar 12 2024"
15:30,,Las Vegas (LAS)-,-,C56X (N5150V),,Departed 15:57,Borger Hutchinson County Airport(BGD/KBGD),"Tuesday, Mar 12 2024"
15:30,,Las Vegas (LAS)-,-,C56X (N5150V),,Departed 15:57,Borger Hutchinson County Airport(BGD/KBGD),"Tuesday, Mar 12 2024"
15:30,,Las Vegas (LAS)-,-,C56X (N5150V),,Departed 15:57,Borger Hutchinson County Airport(BGD/KBGD),"Tuesday, Mar 12 2024"
Load later flights,,,,,,,Borger Hutchinson County Airport(BGD/KBGD),"Tuesday, Mar 12 2024"
* All times are in local timezone,,,,,,,Borger Hutchinson County Airport(BGD/KBGD),"Tuesday, Mar 12 2024"
