Load earlier flights,,,,,,,Boulder Municipal Airport(WBU/KBDU)
Loading...,,,,,,,Boulder Municipal Airport(WBU/KBDU)
"Sorry, we don't have any information about flights for this airport",,,,,,,Boulder Municipal Airport(WBU/KBDU)
Departed 18:09 17:30  Fort Collins(FNL) C182N2553Q -,,,,,,,Boulder Municipal Airport(WBU/KBDU)
Departed 18:09 17:30  Fort Collins(FNL) C182N2553Q -,,,,,,,Boulder Municipal Airport(WBU/KBDU)
Departed 18:09 17:30  Fort Collins(FNL) C182N2553Q -,,,,,,,Boulder Municipal Airport(WBU/KBDU)
Departed 18:09 17:30  Fort Collins(FNL) C182N2553Q -,,,,,,,Boulder Municipal Airport(WBU/KBDU)
Departed 18:09 17:30  Fort Collins(FNL) C182N2553Q -,,,,,,,Boulder Municipal Airport(WBU/KBDU)
"Tuesday, Mar 12",,,,,,,Boulder Municipal Airport(WBU/KBDU)
17:30,,Fort Collins (FNL)-,-,C182 (N2553Q),,Departed 18:09,Boulder Municipal Airport(WBU/KBDU),"Tuesday, Mar 12 2024"
17:30,,Fort Collins (FNL)-,-,C182 (N2553Q),,Departed 18:09,Boulder Municipal Airport(WBU/KBDU),"Tuesday, Mar 12 2024"
17:30,,Fort Collins (FNL)-,-,C182 (N2553Q),,Departed 18:09,Boulder Municipal Airport(WBU/KBDU),"Tuesday, Mar 12 2024"
17:30,,Fort Collins (FNL)-,-,C182 (N2553Q),,Departed 18:09,Boulder Municipal Airport(WBU/KBDU),"Tuesday, Mar 12 2024"
17:30,,Fort Collins (FNL)-,-,C182 (N2553Q),,Departed 18:09,Boulder Municipal Airport(WBU/KBDU),"Tuesday, Mar 12 2024"
Load later flights,,,,,,,Boulder Municipal Airport(WBU/KBDU),"Tuesday, Mar 12 2024"
* All times are in local timezone,,,,,,,Boulder Municipal Airport(WBU/KBDU),"Tuesday, Mar 12 2024"
