Load earlier flights,,,,,,,Houston West Airport(IWS/KIWS)
Loading...,,,,,,,Houston West Airport(IWS/KIWS)
"Sorry, we don't have any information about flights for this airport",,,,,,,Houston West Airport(IWS/KIWS)
15:00,,Gage (GAG)-,-,C425 (N645SB),,Departed 15:32,Houston West Airport(IWS/KIWS),"Tuesday, Mar 12 2024"
16:00,CHR1,Dallas (DAL)-,-,C206 (),,Departed 16:10,Houston West Airport(IWS/KIWS),"Tuesday, Mar 12 2024"
16:33,,Houma (HUM)-,-,BE20 (N716AP),,Departed 16:18,Houston West Airport(IWS/KIWS),"Tuesday, Mar 12 2024"
"Wednesday, Mar 13",,,,,,,Houston West Airport(IWS/KIWS)
08:15,,Rogers (ROG)-,-,PA46 (N515RR),,Estimated dep.  11:31,Houston West Airport(IWS/KIWS),"Wednesday, Mar 13 2024"
11:30,,Lubbock (LBB)-,-,M20P (N4019H),,Estimated dep.  11:40,Houston West Airport(IWS/KIWS),"Wednesday, Mar 13 2024"
14:00,,Lafayette (LFT)-,-,SR22 (N290J),,Estimated dep.  14:23,Houston West Airport(IWS/KIWS),"Wednesday, Mar 13 2024"
11:30,,Lubbock (LBB)-,-,M20P (N4019H),,Estimated dep.  11:40,Houston West Airport(IWS/KIWS),"Wednesday, Mar 13 2024"
14:00,,Lafayette (LFT)-,-,SR22 (N290J),,Estimated dep.  14:23,Houston West Airport(IWS/KIWS),"Wednesday, Mar 13 2024"
11:30,,Lubbock (LBB)-,-,M20P (N4019H),,Estimated dep.  11:40,Houston West Airport(IWS/KIWS),"Wednesday, Mar 13 2024"
14:00,,Lafayette (LFT)-,-,SR22 (N290J),,Estimated dep.  14:23,Houston West Airport(IWS/KIWS),"Wednesday, Mar 13 2024"
11:30,,Lubbock (LBB)-,-,M20P (N4019H),,Estimated dep.  11:40,Houston West Airport(IWS/KIWS),"Wednesday, Mar 13 2024"
14:00,,Lafayette (LFT)-,-,SR22 (N290J),,Estimated dep.  14:23,Houston West Airport(IWS/KIWS),"Wednesday, Mar 13 2024"
11:30,,Lubbock (LBB)-,-,M20P (N4019H),,Estimated dep.  11:40,Houston West Airport(IWS/KIWS),"Wednesday, Mar 13 2024"
14:00,,Lafayette (LFT)-,-,SR22 (N290J),,Estimated dep.  14:23,Houston West Airport(IWS/KIWS),"Wednesday, Mar 13 2024"
11:30,,Lubbock (LBB)-,-,M20P (N4019H),,Estimated dep.  11:40,Houston West Airport(IWS/KIWS),"Wednesday, Mar 13 2024"
14:00,,Lafayette (LFT)-,-,SR22 (N290J),,Estimated dep.  14:23,Houston West Airport(IWS/KIWS),"Wednesday, Mar 13 2024"
Load later flights,,,,,,,Houston West Airport(IWS/KIWS),"Wednesday, Mar 13 2024"
* All times are in local timezone,,,,,,,Houston West Airport(IWS/KIWS),"Wednesday, Mar 13 2024"
