Loading earlier flights...,,,,,,,Hayward Sawyer County Airport(HYR/KHYR)
Loading...,,,,,,,Hayward Sawyer County Airport(HYR/KHYR)
"Sorry, we don't have any information about flights for this airport",,,,,,,Hayward Sawyer County Airport(HYR/KHYR)
Landed 13:53 14:01 MVK31 Mankato(MKT) P28AN336MKNorth Star Aviation -,,,,,,,Hayward Sawyer County Airport(HYR/KHYR)
Scheduled  13:19  Marshfield(MFI) C182N266ME -,,,,,,,Hayward Sawyer County Airport(HYR/KHYR)
"Tuesday, Mar 12",,,,,,,Hayward Sawyer County Airport(HYR/KHYR)
14:01,MVK31,Mankato (MKT)-,North Star Aviation -,P28A (N336MK),,Landed 13:53,Hayward Sawyer County Airport(HYR/KHYR),"Tuesday, Mar 12 2024"
"Wednesday, Mar 13",,,,,,,Hayward Sawyer County Airport(HYR/KHYR)
13:19,,Marshfield (MFI)-,-,C182 (N266ME),,Scheduled,Hayward Sawyer County Airport(HYR/KHYR),"Wednesday, Mar 13 2024"
Loading later flights...,,,,,,,Hayward Sawyer County Airport(HYR/KHYR),"Wednesday, Mar 13 2024"
* All times are in local timezone,,,,,,,Hayward Sawyer County Airport(HYR/KHYR),"Wednesday, Mar 13 2024"
