Load earlier flights,,,,,,,Brevig Mission Airport(KTS/PFKT)
"Thursday, Mar 14",,,,,,,Brevig Mission Airport(KTS/PFKT)
09:55,8E870,Nome (OME)-,Bering Air -,CNC (),,Scheduled,Brevig Mission Airport(KTS/PFKT),"Thursday, Mar 14 2024"
10:15,8E870,Teller (TLA)-,Bering Air -,CNC (),,Scheduled,Brevig Mission Airport(KTS/PFKT),"Thursday, Mar 14 2024"
"Wednesday, Mar 13",,,,,,,Brevig Mission Airport(KTS/PFKT)
09:55,8E870,Nome (OME)-,Bering Air -,C208 (),,Scheduled,Brevig Mission Airport(KTS/PFKT),"Wednesday, Mar 13 2024"
10:15,8E870,Teller (TLA)-,Bering Air -,CNC (),,Scheduled,Brevig Mission Airport(KTS/PFKT),"Wednesday, Mar 13 2024"
15:45,8E892,Teller (TLA)-,Bering Air -,CNC (),,Scheduled,Brevig Mission Airport(KTS/PFKT),"Wednesday, Mar 13 2024"
"Thursday, Mar 14",,,,,,,Brevig Mission Airport(KTS/PFKT)
09:55,8E870,Nome (OME)-,Bering Air -,CNC (),,Scheduled,Brevig Mission Airport(KTS/PFKT),"Thursday, Mar 14 2024"
10:15,8E870,Teller (TLA)-,Bering Air -,CNC (),,Scheduled,Brevig Mission Airport(KTS/PFKT),"Thursday, Mar 14 2024"
"Wednesday, Mar 13",,,,,,,Brevig Mission Airport(KTS/PFKT)
09:55,8E870,Nome (OME)-,Bering Air -,C208 (),,Scheduled,Brevig Mission Airport(KTS/PFKT),"Wednesday, Mar 13 2024"
10:15,8E870,Teller (TLA)-,Bering Air -,CNC (),,Scheduled,Brevig Mission Airport(KTS/PFKT),"Wednesday, Mar 13 2024"
15:45,8E892,Teller (TLA)-,Bering Air -,CNC (),,Scheduled,Brevig Mission Airport(KTS/PFKT),"Wednesday, Mar 13 2024"
"Thursday, Mar 14",,,,,,,Brevig Mission Airport(KTS/PFKT)
09:55,8E870,Nome (OME)-,Bering Air -,CNC (),,Scheduled,Brevig Mission Airport(KTS/PFKT),"Thursday, Mar 14 2024"
10:15,8E870,Teller (TLA)-,Bering Air -,CNC (),,Scheduled,Brevig Mission Airport(KTS/PFKT),"Thursday, Mar 14 2024"
"Wednesday, Mar 13",,,,,,,Brevig Mission Airport(KTS/PFKT)
09:55,8E870,Nome (OME)-,Bering Air -,C208 (),,Scheduled,Brevig Mission Airport(KTS/PFKT),"Wednesday, Mar 13 2024"
10:15,8E870,Teller (TLA)-,Bering Air -,CNC (),,Scheduled,Brevig Mission Airport(KTS/PFKT),"Wednesday, Mar 13 2024"
15:45,8E892,Teller (TLA)-,Bering Air -,CNC (),,Scheduled,Brevig Mission Airport(KTS/PFKT),"Wednesday, Mar 13 2024"
"Thursday, Mar 14",,,,,,,Brevig Mission Airport(KTS/PFKT)
09:55,8E870,Nome (OME)-,Bering Air -,CNC (),,Scheduled,Brevig Mission Airport(KTS/PFKT),"Thursday, Mar 14 2024"
10:15,8E870,Teller (TLA)-,Bering Air -,CNC (),,Scheduled,Brevig Mission Airport(KTS/PFKT),"Thursday, Mar 14 2024"
Load later flights,,,,,,,Brevig Mission Airport(KTS/PFKT),"Thursday, Mar 14 2024"
* All times are in local timezone,,,,,,,Brevig Mission Airport(KTS/PFKT),"Thursday, Mar 14 2024"
