Load earlier flights,,,,,,,Glasgow Airport(GGW/KGGW)
"Thursday, Mar 14",,,,,,,Glasgow Airport(GGW/KGGW)
12:01,9K1757,Billings (BIL)-,Cape Air -,T12 (),,Scheduled,Glasgow Airport(GGW/KGGW),"Thursday, Mar 14 2024"
"Wednesday, Mar 13",,,,,,,Glasgow Airport(GGW/KGGW)
07:31,,Billings (BIL)-,-,BE20 (N205EJ),,Scheduled,Glasgow Airport(GGW/KGGW),"Wednesday, Mar 13 2024"
12:01,9K1757,Billings (BIL)-,Cape Air -,T12 (),,Scheduled,Glasgow Airport(GGW/KGGW),"Wednesday, Mar 13 2024"
19:32,9K1761,Billings (BIL)-,Cape Air -,T12 (),,Scheduled,Glasgow Airport(GGW/KGGW),"Wednesday, Mar 13 2024"
"Thursday, Mar 14",,,,,,,Glasgow Airport(GGW/KGGW)
12:01,9K1757,Billings (BIL)-,Cape Air -,T12 (),,Scheduled,Glasgow Airport(GGW/KGGW),"Thursday, Mar 14 2024"
Loading later flights...,,,,,,,Glasgow Airport(GGW/KGGW),"Thursday, Mar 14 2024"
* All times are in local timezone,,,,,,,Glasgow Airport(GGW/KGGW),"Thursday, Mar 14 2024"
