Loading earlier flights...,,,,,,,Chadron Municipal Airport(CDR/KCDR)
Loading...,,,,,,,Chadron Municipal Airport(CDR/KCDR)
"Sorry, we don't have any information about flights for this airport",,,,,,,Chadron Municipal Airport(CDR/KCDR)
Estimated dep.  07:10 07:00  Valentine(VTN) BE20 -,,,,,,,Chadron Municipal Airport(CDR/KCDR)
Estimated dep.  07:31 07:25 9X880 Denver(DEN) PC12Southern Airways Express -,,,,,,,Chadron Municipal Airport(CDR/KCDR)
Estimated dep.  13:36 13:30 9X882 Denver(DEN) PC12Southern Airways Express -,,,,,,,Chadron Municipal Airport(CDR/KCDR)
Scheduled  07:25 9X880 Denver(DEN) PL2Southern Airways Express -,,,,,,,Chadron Municipal Airport(CDR/KCDR)
Scheduled  13:30 9X882 Denver(DEN) PL2Southern Airways Express -,,,,,,,Chadron Municipal Airport(CDR/KCDR)
"Wednesday, Mar 13",,,,,,,Chadron Municipal Airport(CDR/KCDR)
07:00,,Valentine (VTN)-,-,BE20 (),,Estimated dep.  07:10,Chadron Municipal Airport(CDR/KCDR),"Wednesday, Mar 13 2024"
07:25,9X880,Denver (DEN)-,Southern Airways Express -,PC12 (),,Estimated dep.  07:31,Chadron Municipal Airport(CDR/KCDR),"Wednesday, Mar 13 2024"
13:30,9X882,Denver (DEN)-,Southern Airways Express -,PC12 (),,Estimated dep.  13:36,Chadron Municipal Airport(CDR/KCDR),"Wednesday, Mar 13 2024"
"Thursday, Mar 14",,,,,,,Chadron Municipal Airport(CDR/KCDR)
07:25,9X880,Denver (DEN)-,Southern Airways Express -,PL2 (),,Scheduled,Chadron Municipal Airport(CDR/KCDR),"Thursday, Mar 14 2024"
13:30,9X882,Denver (DEN)-,Southern Airways Express -,PL2 (),,Scheduled,Chadron Municipal Airport(CDR/KCDR),"Thursday, Mar 14 2024"
Loading later flights...,,,,,,,Chadron Municipal Airport(CDR/KCDR),"Thursday, Mar 14 2024"
* All times are in local timezone,,,,,,,Chadron Municipal Airport(CDR/KCDR),"Thursday, Mar 14 2024"
