Loading earlier flights...,,,,,,,Jackson Municipal Airport(MJQ/KMJQ)
Loading...,,,,,,,Jackson Municipal Airport(MJQ/KMJQ)
"Sorry, we don't have any information about flights for this airport",,,,,,,Jackson Municipal Airport(MJQ/KMJQ)
Diverted to  MKT  22:18 MVK75 Forest City(FXY) P28AN364MKNorth Star Aviation -,,,,,,,Jackson Municipal Airport(MJQ/KMJQ)
"Monday, Mar 11",,,,,,,Jackson Municipal Airport(MJQ/KMJQ)
22:18,MVK75,Forest City (FXY)-,North Star Aviation -,P28A (N364MK),,Diverted to  MKT,Jackson Municipal Airport(MJQ/KMJQ),"Monday, Mar 11 2024"
Loading later flights...,,,,,,,Jackson Municipal Airport(MJQ/KMJQ),"Monday, Mar 11 2024"
* All times are in local timezone,,,,,,,Jackson Municipal Airport(MJQ/KMJQ),"Monday, Mar 11 2024"
