Load earlier flights,,,,,,,Columbus Lowndes County Airport(UBS/KUBS)
Loading...,,,,,,,Columbus Lowndes County Airport(UBS/KUBS)
"Sorry, we don't have any information about flights for this airport",,,,,,,Columbus Lowndes County Airport(UBS/KUBS)
Unknown  16:17  Asheville(AVL) DA42N199TS -,,,,,,,Columbus Lowndes County Airport(UBS/KUBS)
Unknown  16:17  Asheville(AVL) DA42N199TS -,,,,,,,Columbus Lowndes County Airport(UBS/KUBS)
Unknown  16:17  Asheville(AVL) DA42N199TS -,,,,,,,Columbus Lowndes County Airport(UBS/KUBS)
Unknown  16:17  Asheville(AVL) DA42N199TS -,,,,,,,Columbus Lowndes County Airport(UBS/KUBS)
Unknown  16:17  Asheville(AVL) DA42N199TS -,,,,,,,Columbus Lowndes County Airport(UBS/KUBS)
"Tuesday, Mar 12",,,,,,,Columbus Lowndes County Airport(UBS/KUBS)
16:17,,Asheville (AVL)-,-,DA42 (N199TS),,Unknown,Columbus Lowndes County Airport(UBS/KUBS),"Tuesday, Mar 12 2024"
16:17,,Asheville (AVL)-,-,DA42 (N199TS),,Unknown,Columbus Lowndes County Airport(UBS/KUBS),"Tuesday, Mar 12 2024"
16:17,,Asheville (AVL)-,-,DA42 (N199TS),,Unknown,Columbus Lowndes County Airport(UBS/KUBS),"Tuesday, Mar 12 2024"
16:17,,Asheville (AVL)-,-,DA42 (N199TS),,Unknown,Columbus Lowndes County Airport(UBS/KUBS),"Tuesday, Mar 12 2024"
16:17,,Asheville (AVL)-,-,DA42 (N199TS),,Unknown,Columbus Lowndes County Airport(UBS/KUBS),"Tuesday, Mar 12 2024"
Load later flights,,,,,,,Columbus Lowndes County Airport(UBS/KUBS),"Tuesday, Mar 12 2024"
* All times are in local timezone,,,,,,,Columbus Lowndes County Airport(UBS/KUBS),"Tuesday, Mar 12 2024"
