Load earlier flights,,,,,,,Farmington Four Corners Regional Airport(FMN/KFMN)
Loading...,,,,,,,Farmington Four Corners Regional Airport(FMN/KFMN)
"Sorry, we don't have any information about flights for this airport",,,,,,,Farmington Four Corners Regional Airport(FMN/KFMN)
14:00,LXJ384,Las Vegas (LAS)-,Flexjet -,E55P (N384FX),,Departed 15:07,Farmington Four Corners Regional Airport(FMN/KFMN),"Tuesday, Mar 12 2024"
15:30,,Denver (APA)-,-,LJ45 (N992WE),,Departed 16:04,Farmington Four Corners Regional Airport(FMN/KFMN),"Tuesday, Mar 12 2024"
17:10,,Las Vegas (HSH)-,-,PRM1 (N368CS),,Departed 17:03,Farmington Four Corners Regional Airport(FMN/KFMN),"Tuesday, Mar 12 2024"
17:30,HPN7791,Albuquerque (ABQ)-,FedEx Feeder -,C208 (N992FE),,Departed 17:31,Farmington Four Corners Regional Airport(FMN/KFMN),"Tuesday, Mar 12 2024"
"Wednesday, Mar 13",,,,,,,Farmington Four Corners Regional Airport(FMN/KFMN)
00:15,,Las Cruces (LRU)-,-,PC12 (N913NM),,Estimated dep.  00:33,Farmington Four Corners Regional Airport(FMN/KFMN),"Wednesday, Mar 13 2024"
17:30,HPN7791,Albuquerque (ABQ)-,Reliable Airlines -,C208 (),,Estimated dep.  17:40,Farmington Four Corners Regional Airport(FMN/KFMN),"Wednesday, Mar 13 2024"
17:30,HPN7791,Albuquerque (ABQ)-,Reliable Airlines -,C208 (),,Estimated dep.  17:40,Farmington Four Corners Regional Airport(FMN/KFMN),"Wednesday, Mar 13 2024"
17:30,HPN7791,Albuquerque (ABQ)-,Reliable Airlines -,C208 (),,Estimated dep.  17:40,Farmington Four Corners Regional Airport(FMN/KFMN),"Wednesday, Mar 13 2024"
17:30,HPN7791,Albuquerque (ABQ)-,Reliable Airlines -,C208 (),,Estimated dep.  17:40,Farmington Four Corners Regional Airport(FMN/KFMN),"Wednesday, Mar 13 2024"
17:30,HPN7791,Albuquerque (ABQ)-,Reliable Airlines -,C208 (),,Estimated dep.  17:40,Farmington Four Corners Regional Airport(FMN/KFMN),"Wednesday, Mar 13 2024"
17:30,HPN7791,Albuquerque (ABQ)-,Reliable Airlines -,C208 (),,Estimated dep.  17:40,Farmington Four Corners Regional Airport(FMN/KFMN),"Wednesday, Mar 13 2024"
Load later flights,,,,,,,Farmington Four Corners Regional Airport(FMN/KFMN),"Wednesday, Mar 13 2024"
* All times are in local timezone,,,,,,,Farmington Four Corners Regional Airport(FMN/KFMN),"Wednesday, Mar 13 2024"
