Load earlier flights,,,,,,,Jacksonville Municipal Airport(IJX/KIJX)
Loading...,,,,,,,Jacksonville Municipal Airport(IJX/KIJX)
"Sorry, we don't have any information about flights for this airport",,,,,,,Jacksonville Municipal Airport(IJX/KIJX)
Unknown  08:25  Ames(AMW) SS2TN510T -,,,,,,,Jacksonville Municipal Airport(IJX/KIJX)
Unknown  08:25  Ames(AMW) SS2TN510T -,,,,,,,Jacksonville Municipal Airport(IJX/KIJX)
Unknown  08:25  Ames(AMW) SS2TN510T -,,,,,,,Jacksonville Municipal Airport(IJX/KIJX)
Unknown  08:25  Ames(AMW) SS2TN510T -,,,,,,,Jacksonville Municipal Airport(IJX/KIJX)
Unknown  08:25  Ames(AMW) SS2TN510T -,,,,,,,Jacksonville Municipal Airport(IJX/KIJX)
"Wednesday, Mar 13",,,,,,,Jacksonville Municipal Airport(IJX/KIJX)
08:25,,Ames (AMW)-,-,SS2T (N510T),,Unknown,Jacksonville Municipal Airport(IJX/KIJX),"Wednesday, Mar 13 2024"
08:25,,Ames (AMW)-,-,SS2T (N510T),,Unknown,Jacksonville Municipal Airport(IJX/KIJX),"Wednesday, Mar 13 2024"
08:25,,Ames (AMW)-,-,SS2T (N510T),,Unknown,Jacksonville Municipal Airport(IJX/KIJX),"Wednesday, Mar 13 2024"
08:25,,Ames (AMW)-,-,SS2T (N510T),,Unknown,Jacksonville Municipal Airport(IJX/KIJX),"Wednesday, Mar 13 2024"
08:25,,Ames (AMW)-,-,SS2T (N510T),,Unknown,Jacksonville Municipal Airport(IJX/KIJX),"Wednesday, Mar 13 2024"
Load later flights,,,,,,,Jacksonville Municipal Airport(IJX/KIJX),"Wednesday, Mar 13 2024"
* All times are in local timezone,,,,,,,Jacksonville Municipal Airport(IJX/KIJX),"Wednesday, Mar 13 2024"
