Loading earlier flights...,,,,,,,Elim Airport(ELI/PFEL)
Loading...,,,,,,,Elim Airport(ELI/PFEL)
"Sorry, we don't have any information about flights for this airport",,,,,,,Elim Airport(ELI/PFEL)
Scheduled  09:45 8E812 Nome(OME) CNCBering Air -,,,,,,,Elim Airport(ELI/PFEL)
Scheduled  10:00 8E820 Nome(OME) C208Bering Air -,,,,,,,Elim Airport(ELI/PFEL)
Scheduled  10:25 7S1430 Golovin(GLV) C212Ryan Air (USA) -,,,,,,,Elim Airport(ELI/PFEL)
Scheduled  16:55 8E820 Golovin(GLV) CNCBering Air -,,,,,,,Elim Airport(ELI/PFEL)
Scheduled  09:45 8E812 Nome(OME) CNCBering Air -,,,,,,,Elim Airport(ELI/PFEL)
Scheduled  10:00 8E820 Nome(OME) CNCBering Air -,,,,,,,Elim Airport(ELI/PFEL)
"Wednesday, Mar 13",,,,,,,Elim Airport(ELI/PFEL)
09:45,8E812,Nome (OME)-,Bering Air -,CNC (),,Scheduled,Elim Airport(ELI/PFEL),"Wednesday, Mar 13 2024"
10:00,8E820,Nome (OME)-,Bering Air -,C208 (),,Scheduled,Elim Airport(ELI/PFEL),"Wednesday, Mar 13 2024"
10:25,7S1430,Golovin (GLV)-,Ryan Air (USA) -,C212 (),,Scheduled,Elim Airport(ELI/PFEL),"Wednesday, Mar 13 2024"
16:55,8E820,Golovin (GLV)-,Bering Air -,CNC (),,Scheduled,Elim Airport(ELI/PFEL),"Wednesday, Mar 13 2024"
"Thursday, Mar 14",,,,,,,Elim Airport(ELI/PFEL)
09:45,8E812,Nome (OME)-,Bering Air -,CNC (),,Scheduled,Elim Airport(ELI/PFEL),"Thursday, Mar 14 2024"
10:00,8E820,Nome (OME)-,Bering Air -,CNC (),,Scheduled,Elim Airport(ELI/PFEL),"Thursday, Mar 14 2024"
Loading later flights...,,,,,,,Elim Airport(ELI/PFEL),"Thursday, Mar 14 2024"
* All times are in local timezone,,,,,,,Elim Airport(ELI/PFEL),"Thursday, Mar 14 2024"
