Load earlier flights,,,,,,,Farmington Regional Airport(FAM/KFAM)
Loading...,,,,,,,Farmington Regional Airport(FAM/KFAM)
"Sorry, we don't have any information about flights for this airport",,,,,,,Farmington Regional Airport(FAM/KFAM)
Estimated dep.  10:10 10:00  Jefferson City(JEF) C25BN710WC -,,,,,,,Farmington Regional Airport(FAM/KFAM)
Estimated dep.  10:10 10:00  Jefferson City(JEF) C25BN710WC -,,,,,,,Farmington Regional Airport(FAM/KFAM)
Estimated dep.  10:10 10:00  Jefferson City(JEF) C25BN710WC -,,,,,,,Farmington Regional Airport(FAM/KFAM)
Estimated dep.  10:10 10:00  Jefferson City(JEF) C25BN710WC -,,,,,,,Farmington Regional Airport(FAM/KFAM)
Estimated dep.  10:10 10:00  Jefferson City(JEF) C25BN710WC -,,,,,,,Farmington Regional Airport(FAM/KFAM)
Estimated dep.  10:10 10:00  Jefferson City(JEF) C25BN710WC -,,,,,,,Farmington Regional Airport(FAM/KFAM)
"Wednesday, Mar 13",,,,,,,Farmington Regional Airport(FAM/KFAM)
10:00,,Jefferson City (JEF)-,-,C25B (N710WC),,Estimated dep.  10:10,Farmington Regional Airport(FAM/KFAM),"Wednesday, Mar 13 2024"
10:00,,Jefferson City (JEF)-,-,C25B (N710WC),,Estimated dep.  10:10,Farmington Regional Airport(FAM/KFAM),"Wednesday, Mar 13 2024"
10:00,,Jefferson City (JEF)-,-,C25B (N710WC),,Estimated dep.  10:10,Farmington Regional Airport(FAM/KFAM),"Wednesday, Mar 13 2024"
10:00,,Jefferson City (JEF)-,-,C25B (N710WC),,Estimated dep.  10:10,Farmington Regional Airport(FAM/KFAM),"Wednesday, Mar 13 2024"
10:00,,Jefferson City (JEF)-,-,C25B (N710WC),,Estimated dep.  10:10,Farmington Regional Airport(FAM/KFAM),"Wednesday, Mar 13 2024"
10:00,,Jefferson City (JEF)-,-,C25B (N710WC),,Estimated dep.  10:10,Farmington Regional Airport(FAM/KFAM),"Wednesday, Mar 13 2024"
Load later flights,,,,,,,Farmington Regional Airport(FAM/KFAM),"Wednesday, Mar 13 2024"
* All times are in local timezone,,,,,,,Farmington Regional Airport(FAM/KFAM),"Wednesday, Mar 13 2024"
