Load earlier flights,,,,,,,Fayetteville Pope Field(POB/KPOB)
Loading...,,,,,,,Fayetteville Pope Field(POB/KPOB)
09:00,,Fayetteville (POB)-,-,DH8C (),,Estimated dep.  09:10,Fayetteville Pope Field(POB/KPOB),"Wednesday, Mar 13 2024"
08:40,,Maxton (MXE)-,-,DHC6 (),,Estimated dep.  08:50,Fayetteville Pope Field(POB/KPOB),"Wednesday, Mar 13 2024"
09:00,,Fayetteville (POB)-,-,DH8C (),,Estimated dep.  09:10,Fayetteville Pope Field(POB/KPOB),"Wednesday, Mar 13 2024"
08:40,,Maxton (MXE)-,-,DHC6 (),,Estimated dep.  08:50,Fayetteville Pope Field(POB/KPOB),"Wednesday, Mar 13 2024"
09:00,,Fayetteville (POB)-,-,DH8C (),,Estimated dep.  09:10,Fayetteville Pope Field(POB/KPOB),"Wednesday, Mar 13 2024"
08:40,,Maxton (MXE)-,-,DHC6 (),,Estimated dep.  08:50,Fayetteville Pope Field(POB/KPOB),"Wednesday, Mar 13 2024"
09:00,,Fayetteville (POB)-,-,DH8C (),,Estimated dep.  09:10,Fayetteville Pope Field(POB/KPOB),"Wednesday, Mar 13 2024"
08:40,,Maxton (MXE)-,-,DHC6 (),,Estimated dep.  08:50,Fayetteville Pope Field(POB/KPOB),"Wednesday, Mar 13 2024"
09:00,,Fayetteville (POB)-,-,DH8C (),,Estimated dep.  09:10,Fayetteville Pope Field(POB/KPOB),"Wednesday, Mar 13 2024"
08:40,,Maxton (MXE)-,-,DHC6 (),,Estimated dep.  08:50,Fayetteville Pope Field(POB/KPOB),"Wednesday, Mar 13 2024"
09:00,,Fayetteville (POB)-,-,DH8C (),,Estimated dep.  09:10,Fayetteville Pope Field(POB/KPOB),"Wednesday, Mar 13 2024"
Load later flights,,,,,,,Fayetteville Pope Field(POB/KPOB),"Wednesday, Mar 13 2024"
* All times are in local timezone,,,,,,,Fayetteville Pope Field(POB/KPOB),"Wednesday, Mar 13 2024"
