Load earlier flights,,,,,,,Fairmont Municipal Airport(FRM/KFRM)
Loading...,,,,,,,Fairmont Municipal Airport(FRM/KFRM)
"Sorry, we don't have any information about flights for this airport",,,,,,,Fairmont Municipal Airport(FRM/KFRM)
Landed 19:35 19:59  Lexington(LXN) BE36N6739U -,,,,,,,Fairmont Municipal Airport(FRM/KFRM)
Landed 19:35 19:59  Lexington(LXN) BE36N6739U -,,,,,,,Fairmont Municipal Airport(FRM/KFRM)
Landed 19:35 19:59  Lexington(LXN) BE36N6739U -,,,,,,,Fairmont Municipal Airport(FRM/KFRM)
Landed 19:35 19:59  Lexington(LXN) BE36N6739U -,,,,,,,Fairmont Municipal Airport(FRM/KFRM)
Landed 19:35 19:59  Lexington(LXN) BE36N6739U -,,,,,,,Fairmont Municipal Airport(FRM/KFRM)
"Tuesday, Mar 12",,,,,,,Fairmont Municipal Airport(FRM/KFRM)
19:59,,Lexington (LXN)-,-,BE36 (N6739U),,Landed 19:35,Fairmont Municipal Airport(FRM/KFRM),"Tuesday, Mar 12 2024"
19:59,,Lexington (LXN)-,-,BE36 (N6739U),,Landed 19:35,Fairmont Municipal Airport(FRM/KFRM),"Tuesday, Mar 12 2024"
19:59,,Lexington (LXN)-,-,BE36 (N6739U),,Landed 19:35,Fairmont Municipal Airport(FRM/KFRM),"Tuesday, Mar 12 2024"
19:59,,Lexington (LXN)-,-,BE36 (N6739U),,Landed 19:35,Fairmont Municipal Airport(FRM/KFRM),"Tuesday, Mar 12 2024"
19:59,,Lexington (LXN)-,-,BE36 (N6739U),,Landed 19:35,Fairmont Municipal Airport(FRM/KFRM),"Tuesday, Mar 12 2024"
Load later flights,,,,,,,Fairmont Municipal Airport(FRM/KFRM),"Tuesday, Mar 12 2024"
* All times are in local timezone,,,,,,,Fairmont Municipal Airport(FRM/KFRM),"Tuesday, Mar 12 2024"
