Load earlier flights,,,,,,,Franklin Venango Regional Airport(FKL/KFKL)
Loading...,,,,,,,Franklin Venango Regional Airport(FKL/KFKL)
"Sorry, we don't have any information about flights for this airport",,,,,,,Franklin Venango Regional Airport(FKL/KFKL)
Departed 15:31 15:20 JRE863 Grand Rapids(GRR) C56XN863JSflyExclusive -,,,,,,,Franklin Venango Regional Airport(FKL/KFKL)
Departed 15:31 15:20 JRE863 Grand Rapids(GRR) C56XN863JSflyExclusive -,,,,,,,Franklin Venango Regional Airport(FKL/KFKL)
Departed 15:31 15:20 JRE863 Grand Rapids(GRR) C56XN863JSflyExclusive -,,,,,,,Franklin Venango Regional Airport(FKL/KFKL)
Departed 15:31 15:20 JRE863 Grand Rapids(GRR) C56XN863JSflyExclusive -,,,,,,,Franklin Venango Regional Airport(FKL/KFKL)
Departed 15:31 15:20 JRE863 Grand Rapids(GRR) C56XN863JSflyExclusive -,,,,,,,Franklin Venango Regional Airport(FKL/KFKL)
"Tuesday, Mar 12",,,,,,,Franklin Venango Regional Airport(FKL/KFKL)
15:20,JRE863,Grand Rapids (GRR)-,flyExclusive -,C56X (N863JS),,Departed 15:31,Franklin Venango Regional Airport(FKL/KFKL),"Tuesday, Mar 12 2024"
15:20,JRE863,Grand Rapids (GRR)-,flyExclusive -,C56X (N863JS),,Departed 15:31,Franklin Venango Regional Airport(FKL/KFKL),"Tuesday, Mar 12 2024"
15:20,JRE863,Grand Rapids (GRR)-,flyExclusive -,C56X (N863JS),,Departed 15:31,Franklin Venango Regional Airport(FKL/KFKL),"Tuesday, Mar 12 2024"
15:20,JRE863,Grand Rapids (GRR)-,flyExclusive -,C56X (N863JS),,Departed 15:31,Franklin Venango Regional Airport(FKL/KFKL),"Tuesday, Mar 12 2024"
15:20,JRE863,Grand Rapids (GRR)-,flyExclusive -,C56X (N863JS),,Departed 15:31,Franklin Venango Regional Airport(FKL/KFKL),"Tuesday, Mar 12 2024"
Loading later flights...,,,,,,,Franklin Venango Regional Airport(FKL/KFKL),"Tuesday, Mar 12 2024"
* All times are in local timezone,,,,,,,Franklin Venango Regional Airport(FKL/KFKL),"Tuesday, Mar 12 2024"
