Load earlier flights,,,,,,,Gainesville Municipal Airport(GLE/KGLE)
Loading...,,,,,,,Gainesville Municipal Airport(GLE/KGLE)
"Sorry, we don't have any information about flights for this airport",,,,,,,Gainesville Municipal Airport(GLE/KGLE)
Departed 08:23 08:25  Sherman(PNX) C172N4695L -,,,,,,,Gainesville Municipal Airport(GLE/KGLE)
Estimated dep.  17:29 17:19  Denton(QQD) C172N63JA -,,,,,,,Gainesville Municipal Airport(GLE/KGLE)
Departed 08:23 08:25  Sherman(PNX) C172N4695L -,,,,,,,Gainesville Municipal Airport(GLE/KGLE)
Estimated dep.  17:29 17:19  Denton(QQD) C172N63JA -,,,,,,,Gainesville Municipal Airport(GLE/KGLE)
Departed 08:23 08:25  Sherman(PNX) C172N4695L -,,,,,,,Gainesville Municipal Airport(GLE/KGLE)
Estimated dep.  17:29 17:19  Denton(QQD) C172N63JA -,,,,,,,Gainesville Municipal Airport(GLE/KGLE)
Departed 08:23 08:25  Sherman(PNX) C172N4695L -,,,,,,,Gainesville Municipal Airport(GLE/KGLE)
Estimated dep.  17:29 17:19  Denton(QQD) C172N63JA -,,,,,,,Gainesville Municipal Airport(GLE/KGLE)
Departed 08:23 08:25  Sherman(PNX) C172N4695L -,,,,,,,Gainesville Municipal Airport(GLE/KGLE)
Estimated dep.  17:29 17:19  Denton(QQD) C172N63JA -,,,,,,,Gainesville Municipal Airport(GLE/KGLE)
Estimated dep.  10:40 10:30  Oklahoma City(OKC) C56XN997SS -,,,,,,,Gainesville Municipal Airport(GLE/KGLE)
Estimated dep.  10:40 10:30 LXJ378 Statesboro(TBR) E55PFlexjet -,,,,,,,Gainesville Municipal Airport(GLE/KGLE)
Estimated dep.  10:40 10:30 LXJ392 Statesboro(TBR) E55PFlexjet -,,,,,,,Gainesville Municipal Airport(GLE/KGLE)
Estimated dep.  10:40 10:30  Oklahoma City(OKC) C56XN997SS -,,,,,,,Gainesville Municipal Airport(GLE/KGLE)
Estimated dep.  10:40 10:30 LXJ378 Statesboro(TBR) E55PFlexjet -,,,,,,,Gainesville Municipal Airport(GLE/KGLE)
Estimated dep.  10:40 10:30 LXJ392 Statesboro(TBR) E55PFlexjet -,,,,,,,Gainesville Municipal Airport(GLE/KGLE)
Estimated dep.  10:40 10:30  Oklahoma City(OKC) C56XN997SS -,,,,,,,Gainesville Municipal Airport(GLE/KGLE)
Estimated dep.  10:40 10:30 LXJ378 Statesboro(TBR) E55PFlexjet -,,,,,,,Gainesville Municipal Airport(GLE/KGLE)
Estimated dep.  10:40 10:30 LXJ392 Statesboro(TBR) E55PFlexjet -,,,,,,,Gainesville Municipal Airport(GLE/KGLE)
Estimated dep.  10:40 10:30  Oklahoma City(OKC) C56XN997SS -,,,,,,,Gainesville Municipal Airport(GLE/KGLE)
Estimated dep.  10:40 10:30 LXJ378 Statesboro(TBR) E55PFlexjet -,,,,,,,Gainesville Municipal Airport(GLE/KGLE)
Estimated dep.  10:40 10:30 LXJ392 Statesboro(TBR) E55PFlexjet -,,,,,,,Gainesville Municipal Airport(GLE/KGLE)
Estimated dep.  10:40 10:30  Oklahoma City(OKC) C56XN997SS -,,,,,,,Gainesville Municipal Airport(GLE/KGLE)
Estimated dep.  10:40 10:30 LXJ378 Statesboro(TBR) E55PFlexjet -,,,,,,,Gainesville Municipal Airport(GLE/KGLE)
Estimated dep.  10:40 10:30 LXJ392 Statesboro(TBR) E55PFlexjet -,,,,,,,Gainesville Municipal Airport(GLE/KGLE)
Estimated dep.  10:40 10:30  Oklahoma City(OKC) C56XN997SS -,,,,,,,Gainesville Municipal Airport(GLE/KGLE)
Estimated dep.  10:40 10:30 LXJ378 Statesboro(TBR) E55PFlexjet -,,,,,,,Gainesville Municipal Airport(GLE/KGLE)
Estimated dep.  10:40 10:30 LXJ392 Statesboro(TBR) E55PFlexjet -,,,,,,,Gainesville Municipal Airport(GLE/KGLE)
"Tuesday, Mar 12",,,,,,,Gainesville Municipal Airport(GLE/KGLE)
08:25,,Sherman (PNX)-,-,C172 (N4695L),,Departed 08:23,Gainesville Municipal Airport(GLE/KGLE),"Tuesday, Mar 12 2024"
17:19,,Denton (QQD)-,-,C172 (N63JA),,Estimated dep.  17:29,Gainesville Municipal Airport(GLE/KGLE),"Tuesday, Mar 12 2024"
08:25,,Sherman (PNX)-,-,C172 (N4695L),,Departed 08:23,Gainesville Municipal Airport(GLE/KGLE),"Tuesday, Mar 12 2024"
17:19,,Denton (QQD)-,-,C172 (N63JA),,Estimated dep.  17:29,Gainesville Municipal Airport(GLE/KGLE),"Tuesday, Mar 12 2024"
08:25,,Sherman (PNX)-,-,C172 (N4695L),,Departed 08:23,Gainesville Municipal Airport(GLE/KGLE),"Tuesday, Mar 12 2024"
17:19,,Denton (QQD)-,-,C172 (N63JA),,Estimated dep.  17:29,Gainesville Municipal Airport(GLE/KGLE),"Tuesday, Mar 12 2024"
08:25,,Sherman (PNX)-,-,C172 (N4695L),,Departed 08:23,Gainesville Municipal Airport(GLE/KGLE),"Tuesday, Mar 12 2024"
17:19,,Denton (QQD)-,-,C172 (N63JA),,Estimated dep.  17:29,Gainesville Municipal Airport(GLE/KGLE),"Tuesday, Mar 12 2024"
08:25,,Sherman (PNX)-,-,C172 (N4695L),,Departed 08:23,Gainesville Municipal Airport(GLE/KGLE),"Tuesday, Mar 12 2024"
17:19,,Denton (QQD)-,-,C172 (N63JA),,Estimated dep.  17:29,Gainesville Municipal Airport(GLE/KGLE),"Tuesday, Mar 12 2024"
"Wednesday, Mar 13",,,,,,,Gainesville Municipal Airport(GLE/KGLE)
10:30,,Oklahoma City (OKC)-,-,C56X (N997SS),,Estimated dep.  10:40,Gainesville Municipal Airport(GLE/KGLE),"Wednesday, Mar 13 2024"
10:30,LXJ378,Statesboro (TBR)-,Flexjet -,E55P (),,Estimated dep.  10:40,Gainesville Municipal Airport(GLE/KGLE),"Wednesday, Mar 13 2024"
10:30,LXJ392,Statesboro (TBR)-,Flexjet -,E55P (),,Estimated dep.  10:40,Gainesville Municipal Airport(GLE/KGLE),"Wednesday, Mar 13 2024"
10:30,,Oklahoma City (OKC)-,-,C56X (N997SS),,Estimated dep.  10:40,Gainesville Municipal Airport(GLE/KGLE),"Wednesday, Mar 13 2024"
10:30,LXJ378,Statesboro (TBR)-,Flexjet -,E55P (),,Estimated dep.  10:40,Gainesville Municipal Airport(GLE/KGLE),"Wednesday, Mar 13 2024"
10:30,LXJ392,Statesboro (TBR)-,Flexjet -,E55P (),,Estimated dep.  10:40,Gainesville Municipal Airport(GLE/KGLE),"Wednesday, Mar 13 2024"
10:30,,Oklahoma City (OKC)-,-,C56X (N997SS),,Estimated dep.  10:40,Gainesville Municipal Airport(GLE/KGLE),"Wednesday, Mar 13 2024"
10:30,LXJ378,Statesboro (TBR)-,Flexjet -,E55P (),,Estimated dep.  10:40,Gainesville Municipal Airport(GLE/KGLE),"Wednesday, Mar 13 2024"
10:30,LXJ392,Statesboro (TBR)-,Flexjet -,E55P (),,Estimated dep.  10:40,Gainesville Municipal Airport(GLE/KGLE),"Wednesday, Mar 13 2024"
10:30,,Oklahoma City (OKC)-,-,C56X (N997SS),,Estimated dep.  10:40,Gainesville Municipal Airport(GLE/KGLE),"Wednesday, Mar 13 2024"
10:30,LXJ378,Statesboro (TBR)-,Flexjet -,E55P (),,Estimated dep.  10:40,Gainesville Municipal Airport(GLE/KGLE),"Wednesday, Mar 13 2024"
10:30,LXJ392,Statesboro (TBR)-,Flexjet -,E55P (),,Estimated dep.  10:40,Gainesville Municipal Airport(GLE/KGLE),"Wednesday, Mar 13 2024"
10:30,,Oklahoma City (OKC)-,-,C56X (N997SS),,Estimated dep.  10:40,Gainesville Municipal Airport(GLE/KGLE),"Wednesday, Mar 13 2024"
10:30,LXJ378,Statesboro (TBR)-,Flexjet -,E55P (),,Estimated dep.  10:40,Gainesville Municipal Airport(GLE/KGLE),"Wednesday, Mar 13 2024"
10:30,LXJ392,Statesboro (TBR)-,Flexjet -,E55P (),,Estimated dep.  10:40,Gainesville Municipal Airport(GLE/KGLE),"Wednesday, Mar 13 2024"
10:30,,Oklahoma City (OKC)-,-,C56X (N997SS),,Estimated dep.  10:40,Gainesville Municipal Airport(GLE/KGLE),"Wednesday, Mar 13 2024"
10:30,LXJ378,Statesboro (TBR)-,Flexjet -,E55P (),,Estimated dep.  10:40,Gainesville Municipal Airport(GLE/KGLE),"Wednesday, Mar 13 2024"
10:30,LXJ392,Statesboro (TBR)-,Flexjet -,E55P (),,Estimated dep.  10:40,Gainesville Municipal Airport(GLE/KGLE),"Wednesday, Mar 13 2024"
Load later flights,,,,,,,Gainesville Municipal Airport(GLE/KGLE),"Wednesday, Mar 13 2024"
* All times are in local timezone,,,,,,,Gainesville Municipal Airport(GLE/KGLE),"Wednesday, Mar 13 2024"
