Load earlier flights,,,,,,,Alamogordo White Sands Regional Airport(ALM/KALM)
Loading...,,,,,,,Alamogordo White Sands Regional Airport(ALM/KALM)
"Sorry, we don't have any information about flights for this airport",,,,,,,Alamogordo White Sands Regional Airport(ALM/KALM)
Landed 13:25 13:21 XLJ605 Santa Barbara(SBA) LJ40N605BX -,,,,,,,Alamogordo White Sands Regional Airport(ALM/KALM)
Landed 13:25 13:21 XLJ605 Santa Barbara(SBA) LJ40N605BX -,,,,,,,Alamogordo White Sands Regional Airport(ALM/KALM)
Landed 13:25 13:21 XLJ605 Santa Barbara(SBA) LJ40N605BX -,,,,,,,Alamogordo White Sands Regional Airport(ALM/KALM)
Landed 13:25 13:21 XLJ605 Santa Barbara(SBA) LJ40N605BX -,,,,,,,Alamogordo White Sands Regional Airport(ALM/KALM)
Landed 13:25 13:21 XLJ605 Santa Barbara(SBA) LJ40N605BX -,,,,,,,Alamogordo White Sands Regional Airport(ALM/KALM)
"Tuesday, Mar 12",,,,,,,Alamogordo White Sands Regional Airport(ALM/KALM)
13:21,XLJ605,Santa Barbara (SBA)-,-,LJ40 (N605BX),,Landed 13:25,Alamogordo White Sands Regional Airport(ALM/KALM),"Tuesday, Mar 12 2024"
13:21,XLJ605,Santa Barbara (SBA)-,-,LJ40 (N605BX),,Landed 13:25,Alamogordo White Sands Regional Airport(ALM/KALM),"Tuesday, Mar 12 2024"
13:21,XLJ605,Santa Barbara (SBA)-,-,LJ40 (N605BX),,Landed 13:25,Alamogordo White Sands Regional Airport(ALM/KALM),"Tuesday, Mar 12 2024"
13:21,XLJ605,Santa Barbara (SBA)-,-,LJ40 (N605BX),,Landed 13:25,Alamogordo White Sands Regional Airport(ALM/KALM),"Tuesday, Mar 12 2024"
13:21,XLJ605,Santa Barbara (SBA)-,-,LJ40 (N605BX),,Landed 13:25,Alamogordo White Sands Regional Airport(ALM/KALM),"Tuesday, Mar 12 2024"
Load later flights,,,,,,,Alamogordo White Sands Regional Airport(ALM/KALM),"Tuesday, Mar 12 2024"
* All times are in local timezone,,,,,,,Alamogordo White Sands Regional Airport(ALM/KALM),"Tuesday, Mar 12 2024"
