Load earlier flights,,,,,,,Juneau Dodge County Airport(UNU/KUNU)
16:55,,Detroit (YIP)-,-,C25C (N95CT),,Canceled,Juneau Dodge County Airport(UNU/KUNU),"Tuesday, Mar 12 2024"
"Wednesday, Mar 13",,,,,,,Juneau Dodge County Airport(UNU/KUNU)
05:50,,Pontiac (PTK)-,-,C441 (N441BW),,Departed 06:09,Juneau Dodge County Airport(UNU/KUNU),"Wednesday, Mar 13 2024"
13:00,,Moline (MLI)-,-,AC11 (N5854N),,Estimated dep.  13:10,Juneau Dodge County Airport(UNU/KUNU),"Wednesday, Mar 13 2024"
13:00,,Moline (MLI)-,-,AC11 (N5854N),,Estimated dep.  13:10,Juneau Dodge County Airport(UNU/KUNU),"Wednesday, Mar 13 2024"
13:00,,Moline (MLI)-,-,AC11 (N5854N),,Estimated dep.  13:10,Juneau Dodge County Airport(UNU/KUNU),"Wednesday, Mar 13 2024"
13:00,,Moline (MLI)-,-,AC11 (N5854N),,Estimated dep.  13:10,Juneau Dodge County Airport(UNU/KUNU),"Wednesday, Mar 13 2024"
13:00,,Moline (MLI)-,-,AC11 (N5854N),,Estimated dep.  13:10,Juneau Dodge County Airport(UNU/KUNU),"Wednesday, Mar 13 2024"
13:00,,Moline (MLI)-,-,AC11 (N5854N),,Estimated dep.  13:10,Juneau Dodge County Airport(UNU/KUNU),"Wednesday, Mar 13 2024"
Load later flights,,,,,,,Juneau Dodge County Airport(UNU/KUNU),"Wednesday, Mar 13 2024"
* All times are in local timezone,,,,,,,Juneau Dodge County Airport(UNU/KUNU),"Wednesday, Mar 13 2024"
