Load earlier flights,,,,,,,Kelso Southwest Washington Regional Airport(KLS/KKLS)
Loading...,,,,,,,Kelso Southwest Washington Regional Airport(KLS/KKLS)
"Sorry, we don't have any information about flights for this airport",,,,,,,Kelso Southwest Washington Regional Airport(KLS/KKLS)
Departed 04:23 04:15  Aurora(QSA) PC12N886LF -,,,,,,,Kelso Southwest Washington Regional Airport(KLS/KKLS)
Departed 04:23 04:15  Aurora(QSA) PC12N886LF -,,,,,,,Kelso Southwest Washington Regional Airport(KLS/KKLS)
Departed 04:23 04:15  Aurora(QSA) PC12N886LF -,,,,,,,Kelso Southwest Washington Regional Airport(KLS/KKLS)
Departed 04:23 04:15  Aurora(QSA) PC12N886LF -,,,,,,,Kelso Southwest Washington Regional Airport(KLS/KKLS)
Departed 04:23 04:15  Aurora(QSA) PC12N886LF -,,,,,,,Kelso Southwest Washington Regional Airport(KLS/KKLS)
"Tuesday, Mar 12",,,,,,,Kelso Southwest Washington Regional Airport(KLS/KKLS)
04:15,,Aurora (QSA)-,-,PC12 (N886LF),,Departed 04:23,Kelso Southwest Washington Regional Airport(KLS/KKLS),"Tuesday, Mar 12 2024"
04:15,,Aurora (QSA)-,-,PC12 (N886LF),,Departed 04:23,Kelso Southwest Washington Regional Airport(KLS/KKLS),"Tuesday, Mar 12 2024"
04:15,,Aurora (QSA)-,-,PC12 (N886LF),,Departed 04:23,Kelso Southwest Washington Regional Airport(KLS/KKLS),"Tuesday, Mar 12 2024"
04:15,,Aurora (QSA)-,-,PC12 (N886LF),,Departed 04:23,Kelso Southwest Washington Regional Airport(KLS/KKLS),"Tuesday, Mar 12 2024"
04:15,,Aurora (QSA)-,-,PC12 (N886LF),,Departed 04:23,Kelso Southwest Washington Regional Airport(KLS/KKLS),"Tuesday, Mar 12 2024"
Load later flights,,,,,,,Kelso Southwest Washington Regional Airport(KLS/KKLS),"Tuesday, Mar 12 2024"
* All times are in local timezone,,,,,,,Kelso Southwest Washington Regional Airport(KLS/KKLS),"Tuesday, Mar 12 2024"
