Load earlier flights,,,,,,,Benton Harbor Southwest Michigan Regional Airport(BEH/KBEH)
Loading...,,,,,,,Benton Harbor Southwest Michigan Regional Airport(BEH/KBEH)
"Sorry, we don't have any information about flights for this airport",,,,,,,Benton Harbor Southwest Michigan Regional Airport(BEH/KBEH)
Landed 17:43 17:30  Spencer(SPW) P46TN287RL -,,,,,,,Benton Harbor Southwest Michigan Regional Airport(BEH/KBEH)
Landed 17:43 17:30  Spencer(SPW) P46TN287RL -,,,,,,,Benton Harbor Southwest Michigan Regional Airport(BEH/KBEH)
Landed 17:43 17:30  Spencer(SPW) P46TN287RL -,,,,,,,Benton Harbor Southwest Michigan Regional Airport(BEH/KBEH)
Landed 17:43 17:30  Spencer(SPW) P46TN287RL -,,,,,,,Benton Harbor Southwest Michigan Regional Airport(BEH/KBEH)
Landed 17:43 17:30  Spencer(SPW) P46TN287RL -,,,,,,,Benton Harbor Southwest Michigan Regional Airport(BEH/KBEH)
"Tuesday, Mar 12",,,,,,,Benton Harbor Southwest Michigan Regional Airport(BEH/KBEH)
17:30,,Spencer (SPW)-,-,P46T (N287RL),,Landed 17:43,Benton Harbor Southwest Michigan Regional Airport(BEH/KBEH),"Tuesday, Mar 12 2024"
17:30,,Spencer (SPW)-,-,P46T (N287RL),,Landed 17:43,Benton Harbor Southwest Michigan Regional Airport(BEH/KBEH),"Tuesday, Mar 12 2024"
17:30,,Spencer (SPW)-,-,P46T (N287RL),,Landed 17:43,Benton Harbor Southwest Michigan Regional Airport(BEH/KBEH),"Tuesday, Mar 12 2024"
17:30,,Spencer (SPW)-,-,P46T (N287RL),,Landed 17:43,Benton Harbor Southwest Michigan Regional Airport(BEH/KBEH),"Tuesday, Mar 12 2024"
17:30,,Spencer (SPW)-,-,P46T (N287RL),,Landed 17:43,Benton Harbor Southwest Michigan Regional Airport(BEH/KBEH),"Tuesday, Mar 12 2024"
Load later flights,,,,,,,Benton Harbor Southwest Michigan Regional Airport(BEH/KBEH),"Tuesday, Mar 12 2024"
* All times are in local timezone,,,,,,,Benton Harbor Southwest Michigan Regional Airport(BEH/KBEH),"Tuesday, Mar 12 2024"
