Load earlier flights,,,,,,,Cape Girardeau Regional Airport(CGI/KCGI)
Loading...,,,,,,,Cape Girardeau Regional Airport(CGI/KCGI)
"Sorry, we don't have any information about flights for this airport",,,,,,,Cape Girardeau Regional Airport(CGI/KCGI)
12:15,LF3017,Nashville (BNA)-,Contour Aviation -,ERJ (),,Scheduled,Cape Girardeau Regional Airport(CGI/KCGI),"Thursday, Mar 14 2024"
"Wednesday, Mar 13",,,,,,,Cape Girardeau Regional Airport(CGI/KCGI)
07:00,LF3015,Nashville (BNA)-,Contour Aviation -,E145 (N11565),,Estimated dep.  07:12,Cape Girardeau Regional Airport(CGI/KCGI),"Wednesday, Mar 13 2024"
10:00,,Fort Lauderdale (FLL)-,-,PC12 (N354WA),,Estimated dep.  10:10,Cape Girardeau Regional Airport(CGI/KCGI),"Wednesday, Mar 13 2024"
"Thursday, Mar 14",,,,,,,Cape Girardeau Regional Airport(CGI/KCGI)
07:00,LF3015,Nashville (BNA)-,Contour Aviation -,ERJ (),,Scheduled,Cape Girardeau Regional Airport(CGI/KCGI),"Thursday, Mar 14 2024"
12:15,LF3017,Nashville (BNA)-,Contour Aviation -,ERJ (),,Scheduled,Cape Girardeau Regional Airport(CGI/KCGI),"Thursday, Mar 14 2024"
"Wednesday, Mar 13",,,,,,,Cape Girardeau Regional Airport(CGI/KCGI)
07:00,LF3015,Nashville (BNA)-,Contour Aviation -,E145 (N11565),,Estimated dep.  07:12,Cape Girardeau Regional Airport(CGI/KCGI),"Wednesday, Mar 13 2024"
10:00,,Fort Lauderdale (FLL)-,-,PC12 (N354WA),,Estimated dep.  10:10,Cape Girardeau Regional Airport(CGI/KCGI),"Wednesday, Mar 13 2024"
"Thursday, Mar 14",,,,,,,Cape Girardeau Regional Airport(CGI/KCGI)
07:00,LF3015,Nashville (BNA)-,Contour Aviation -,ERJ (),,Scheduled,Cape Girardeau Regional Airport(CGI/KCGI),"Thursday, Mar 14 2024"
12:15,LF3017,Nashville (BNA)-,Contour Aviation -,ERJ (),,Scheduled,Cape Girardeau Regional Airport(CGI/KCGI),"Thursday, Mar 14 2024"
"Wednesday, Mar 13",,,,,,,Cape Girardeau Regional Airport(CGI/KCGI)
07:00,LF3015,Nashville (BNA)-,Contour Aviation -,E145 (N11565),,Estimated dep.  07:12,Cape Girardeau Regional Airport(CGI/KCGI),"Wednesday, Mar 13 2024"
10:00,,Fort Lauderdale (FLL)-,-,PC12 (N354WA),,Estimated dep.  10:10,Cape Girardeau Regional Airport(CGI/KCGI),"Wednesday, Mar 13 2024"
"Thursday, Mar 14",,,,,,,Cape Girardeau Regional Airport(CGI/KCGI)
07:00,LF3015,Nashville (BNA)-,Contour Aviation -,ERJ (),,Scheduled,Cape Girardeau Regional Airport(CGI/KCGI),"Thursday, Mar 14 2024"
12:15,LF3017,Nashville (BNA)-,Contour Aviation -,ERJ (),,Scheduled,Cape Girardeau Regional Airport(CGI/KCGI),"Thursday, Mar 14 2024"
Load later flights,,,,,,,Cape Girardeau Regional Airport(CGI/KCGI),"Thursday, Mar 14 2024"
* All times are in local timezone,,,,,,,Cape Girardeau Regional Airport(CGI/KCGI),"Thursday, Mar 14 2024"
