Load earlier flights,,,,,,,Falfurrias Brooks County Airport(QTK/KBKS)
Loading...,,,,,,,Falfurrias Brooks County Airport(QTK/KBKS)
"Sorry, we don't have any information about flights for this airport",,,,,,,Falfurrias Brooks County Airport(QTK/KBKS)
Estimated dep.  17:06 17:00 EJA312 Sugar Land(SGR) E55PNetJets -,,,,,,,Falfurrias Brooks County Airport(QTK/KBKS)
Estimated dep.  17:06 17:00 EJA312 Sugar Land(SGR) E55PNetJets -,,,,,,,Falfurrias Brooks County Airport(QTK/KBKS)
Estimated dep.  17:06 17:00 EJA312 Sugar Land(SGR) E55PNetJets -,,,,,,,Falfurrias Brooks County Airport(QTK/KBKS)
Estimated dep.  17:06 17:00 EJA312 Sugar Land(SGR) E55PNetJets -,,,,,,,Falfurrias Brooks County Airport(QTK/KBKS)
Estimated dep.  17:06 17:00 EJA312 Sugar Land(SGR) E55PNetJets -,,,,,,,Falfurrias Brooks County Airport(QTK/KBKS)
Estimated dep.  17:06 17:00 EJA312 Sugar Land(SGR) E55PNetJets -,,,,,,,Falfurrias Brooks County Airport(QTK/KBKS)
"Wednesday, Mar 13",,,,,,,Falfurrias Brooks County Airport(QTK/KBKS)
17:00,EJA312,Sugar Land (SGR)-,NetJets -,E55P (),,Estimated dep.  17:06,Falfurrias Brooks County Airport(QTK/KBKS),"Wednesday, Mar 13 2024"
17:00,EJA312,Sugar Land (SGR)-,NetJets -,E55P (),,Estimated dep.  17:06,Falfurrias Brooks County Airport(QTK/KBKS),"Wednesday, Mar 13 2024"
17:00,EJA312,Sugar Land (SGR)-,NetJets -,E55P (),,Estimated dep.  17:06,Falfurrias Brooks County Airport(QTK/KBKS),"Wednesday, Mar 13 2024"
17:00,EJA312,Sugar Land (SGR)-,NetJets -,E55P (),,Estimated dep.  17:06,Falfurrias Brooks County Airport(QTK/KBKS),"Wednesday, Mar 13 2024"
17:00,EJA312,Sugar Land (SGR)-,NetJets -,E55P (),,Estimated dep.  17:06,Falfurrias Brooks County Airport(QTK/KBKS),"Wednesday, Mar 13 2024"
17:00,EJA312,Sugar Land (SGR)-,NetJets -,E55P (),,Estimated dep.  17:06,Falfurrias Brooks County Airport(QTK/KBKS),"Wednesday, Mar 13 2024"
Load later flights,,,,,,,Falfurrias Brooks County Airport(QTK/KBKS),"Wednesday, Mar 13 2024"
* All times are in local timezone,,,,,,,Falfurrias Brooks County Airport(QTK/KBKS),"Wednesday, Mar 13 2024"
