Load earlier flights,,,,,,,Columbus Lowndes County Airport(UBS/KUBS)
Loading...,,,,,,,Columbus Lowndes County Airport(UBS/KUBS)
"Sorry, we don't have any information about flights for this airport",,,,,,,Columbus Lowndes County Airport(UBS/KUBS)
Departed 09:31 09:00  Asheville(AVL) DA42N199TS -,,,,,,,Columbus Lowndes County Airport(UBS/KUBS)
Departed 09:31 09:00  Asheville(AVL) DA42N199TS -,,,,,,,Columbus Lowndes County Airport(UBS/KUBS)
Departed 09:31 09:00  Asheville(AVL) DA42N199TS -,,,,,,,Columbus Lowndes County Airport(UBS/KUBS)
Departed 09:31 09:00  Asheville(AVL) DA42N199TS -,,,,,,,Columbus Lowndes County Airport(UBS/KUBS)
Departed 09:31 09:00  Asheville(AVL) DA42N199TS -,,,,,,,Columbus Lowndes County Airport(UBS/KUBS)
"Tuesday, Mar 12",,,,,,,Columbus Lowndes County Airport(UBS/KUBS)
09:00,,Asheville (AVL)-,-,DA42 (N199TS),,Departed 09:31,Columbus Lowndes County Airport(UBS/KUBS),"Tuesday, Mar 12 2024"
09:00,,Asheville (AVL)-,-,DA42 (N199TS),,Departed 09:31,Columbus Lowndes County Airport(UBS/KUBS),"Tuesday, Mar 12 2024"
09:00,,Asheville (AVL)-,-,DA42 (N199TS),,Departed 09:31,Columbus Lowndes County Airport(UBS/KUBS),"Tuesday, Mar 12 2024"
09:00,,Asheville (AVL)-,-,DA42 (N199TS),,Departed 09:31,Columbus Lowndes County Airport(UBS/KUBS),"Tuesday, Mar 12 2024"
09:00,,Asheville (AVL)-,-,DA42 (N199TS),,Departed 09:31,Columbus Lowndes County Airport(UBS/KUBS),"Tuesday, Mar 12 2024"
Load later flights,,,,,,,Columbus Lowndes County Airport(UBS/KUBS),"Tuesday, Mar 12 2024"
* All times are in local timezone,,,,,,,Columbus Lowndes County Airport(UBS/KUBS),"Tuesday, Mar 12 2024"
