Load earlier flights,,,,,,,Calexico International Airport(CXL/KCXL)
Loading...,,,,,,,Calexico International Airport(CXL/KCXL)
"Sorry, we don't have any information about flights for this airport",,,,,,,Calexico International Airport(CXL/KCXL)
Landed 09:08 09:19  Santa Ana(SNA) DA42N914GM -,,,,,,,Calexico International Airport(CXL/KCXL)
Landed 09:08 09:19  Santa Ana(SNA) DA42N914GM -,,,,,,,Calexico International Airport(CXL/KCXL)
Landed 09:08 09:19  Santa Ana(SNA) DA42N914GM -,,,,,,,Calexico International Airport(CXL/KCXL)
Landed 09:08 09:19  Santa Ana(SNA) DA42N914GM -,,,,,,,Calexico International Airport(CXL/KCXL)
Landed 09:08 09:19  Santa Ana(SNA) DA42N914GM -,,,,,,,Calexico International Airport(CXL/KCXL)
"Tuesday, Mar 12",,,,,,,Calexico International Airport(CXL/KCXL)
09:19,,Santa Ana (SNA)-,-,DA42 (N914GM),,Landed 09:08,Calexico International Airport(CXL/KCXL),"Tuesday, Mar 12 2024"
09:19,,Santa Ana (SNA)-,-,DA42 (N914GM),,Landed 09:08,Calexico International Airport(CXL/KCXL),"Tuesday, Mar 12 2024"
09:19,,Santa Ana (SNA)-,-,DA42 (N914GM),,Landed 09:08,Calexico International Airport(CXL/KCXL),"Tuesday, Mar 12 2024"
09:19,,Santa Ana (SNA)-,-,DA42 (N914GM),,Landed 09:08,Calexico International Airport(CXL/KCXL),"Tuesday, Mar 12 2024"
09:19,,Santa Ana (SNA)-,-,DA42 (N914GM),,Landed 09:08,Calexico International Airport(CXL/KCXL),"Tuesday, Mar 12 2024"
Load later flights,,,,,,,Calexico International Airport(CXL/KCXL),"Tuesday, Mar 12 2024"
* All times are in local timezone,,,,,,,Calexico International Airport(CXL/KCXL),"Tuesday, Mar 12 2024"
