Load earlier flights,,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),
Loading...,,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),
"Sorry, we don't have any information about flights for this airport",,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),
Landed 17:38 16:26  Chattanooga(CHA) C56XN226SW -,,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),
Landed 19:07 18:29  Chattanooga(CHA) E55PN843F -,,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),
Landed 17:38 16:26  Chattanooga(CHA) C56XN226SW -,,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),
Landed 19:07 18:29  Chattanooga(CHA) E55PN843F -,,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),
Landed 17:38 16:26  Chattanooga(CHA) C56XN226SW -,,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),
Landed 19:07 18:29  Chattanooga(CHA) E55PN843F -,,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),
Landed 17:38 16:26  Chattanooga(CHA) C56XN226SW -,,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),
Landed 19:07 18:29  Chattanooga(CHA) E55PN843F -,,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),
Landed 17:38 16:26  Chattanooga(CHA) C56XN226SW -,,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),
Landed 19:07 18:29  Chattanooga(CHA) E55PN843F -,,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),
Scheduled  18:41  Miami(MIA) C25CN765DF -,,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),
Scheduled  18:41  Miami(MIA) C25CN765DF -,,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),
Scheduled  18:41  Miami(MIA) C25CN765DF -,,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),
Scheduled  18:41  Miami(MIA) C25CN765DF -,,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),
Scheduled  18:41  Miami(MIA) C25CN765DF -,,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),
Scheduled  18:41  Miami(MIA) C25CN765DF -,,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),
"Monday, Mar 11",,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),"Monday, Mar 11 2024"
16:26,,Chattanooga (CHA)-,-,C56X (N226SW),,Landed 17:38,Abingdon Virginia Highlands Airport(VJI/KVJI),
"Tuesday, Mar 12",,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),"Tuesday, Mar 12 2024"
18:29,,Chattanooga (CHA)-,-,E55P (N843F),,Landed 19:07,Abingdon Virginia Highlands Airport(VJI/KVJI),
"Monday, Mar 11",,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),"Monday, Mar 11 2024"
16:26,,Chattanooga (CHA)-,-,C56X (N226SW),,Landed 17:38,Abingdon Virginia Highlands Airport(VJI/KVJI),
"Tuesday, Mar 12",,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),"Tuesday, Mar 12 2024"
18:29,,Chattanooga (CHA)-,-,E55P (N843F),,Landed 19:07,Abingdon Virginia Highlands Airport(VJI/KVJI),
"Monday, Mar 11",,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),"Monday, Mar 11 2024"
16:26,,Chattanooga (CHA)-,-,C56X (N226SW),,Landed 17:38,Abingdon Virginia Highlands Airport(VJI/KVJI),
"Tuesday, Mar 12",,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),"Tuesday, Mar 12 2024"
18:29,,Chattanooga (CHA)-,-,E55P (N843F),,Landed 19:07,Abingdon Virginia Highlands Airport(VJI/KVJI),
"Monday, Mar 11",,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),"Monday, Mar 11 2024"
16:26,,Chattanooga (CHA)-,-,C56X (N226SW),,Landed 17:38,Abingdon Virginia Highlands Airport(VJI/KVJI),
"Tuesday, Mar 12",,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),"Tuesday, Mar 12 2024"
18:29,,Chattanooga (CHA)-,-,E55P (N843F),,Landed 19:07,Abingdon Virginia Highlands Airport(VJI/KVJI),
"Monday, Mar 11",,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),"Monday, Mar 11 2024"
16:26,,Chattanooga (CHA)-,-,C56X (N226SW),,Landed 17:38,Abingdon Virginia Highlands Airport(VJI/KVJI),
"Tuesday, Mar 12",,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),"Tuesday, Mar 12 2024"
18:29,,Chattanooga (CHA)-,-,E55P (N843F),,Landed 19:07,Abingdon Virginia Highlands Airport(VJI/KVJI),
"Wednesday, Mar 13",,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),"Wednesday, Mar 13 2024"
18:41,,Miami (MIA)-,-,C25C (N765DF),,Scheduled,Abingdon Virginia Highlands Airport(VJI/KVJI),
18:41,,Miami (MIA)-,-,C25C (N765DF),,Scheduled,Abingdon Virginia Highlands Airport(VJI/KVJI),
18:41,,Miami (MIA)-,-,C25C (N765DF),,Scheduled,Abingdon Virginia Highlands Airport(VJI/KVJI),
18:41,,Miami (MIA)-,-,C25C (N765DF),,Scheduled,Abingdon Virginia Highlands Airport(VJI/KVJI),
18:41,,Miami (MIA)-,-,C25C (N765DF),,Scheduled,Abingdon Virginia Highlands Airport(VJI/KVJI),
18:41,,Miami (MIA)-,-,C25C (N765DF),,Scheduled,Abingdon Virginia Highlands Airport(VJI/KVJI),
Load later flights,,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),
* All times are in local timezone,,,,,,,Abingdon Virginia Highlands Airport(VJI/KVJI),
