Load earlier flights,,,,,,,Concord Municipal Airport(CON/KCON)
Loading...,,,,,,,Concord Municipal Airport(CON/KCON)
"Sorry, we don't have any information about flights for this airport",,,,,,,Concord Municipal Airport(CON/KCON)
Diverted to  PSM  08:36 CNS976 Portsmouth(PSM) PC24N282AFPlaneSense -,,,,,,,Concord Municipal Airport(CON/KCON)
Diverted to  PSM  08:36 CNS976 Portsmouth(PSM) PC24N282AFPlaneSense -,,,,,,,Concord Municipal Airport(CON/KCON)
Diverted to  PSM  08:36 CNS976 Portsmouth(PSM) PC24N282AFPlaneSense -,,,,,,,Concord Municipal Airport(CON/KCON)
Diverted to  PSM  08:36 CNS976 Portsmouth(PSM) PC24N282AFPlaneSense -,,,,,,,Concord Municipal Airport(CON/KCON)
Diverted to  PSM  08:36 CNS976 Portsmouth(PSM) PC24N282AFPlaneSense -,,,,,,,Concord Municipal Airport(CON/KCON)
"Tuesday, Mar 12",,,,,,,Concord Municipal Airport(CON/KCON)
08:36,CNS976,Portsmouth (PSM)-,PlaneSense -,PC24 (N282AF),,Diverted to  PSM,Concord Municipal Airport(CON/KCON),"Tuesday, Mar 12 2024"
08:36,CNS976,Portsmouth (PSM)-,PlaneSense -,PC24 (N282AF),,Diverted to  PSM,Concord Municipal Airport(CON/KCON),"Tuesday, Mar 12 2024"
08:36,CNS976,Portsmouth (PSM)-,PlaneSense -,PC24 (N282AF),,Diverted to  PSM,Concord Municipal Airport(CON/KCON),"Tuesday, Mar 12 2024"
08:36,CNS976,Portsmouth (PSM)-,PlaneSense -,PC24 (N282AF),,Diverted to  PSM,Concord Municipal Airport(CON/KCON),"Tuesday, Mar 12 2024"
08:36,CNS976,Portsmouth (PSM)-,PlaneSense -,PC24 (N282AF),,Diverted to  PSM,Concord Municipal Airport(CON/KCON),"Tuesday, Mar 12 2024"
Load later flights,,,,,,,Concord Municipal Airport(CON/KCON),"Tuesday, Mar 12 2024"
* All times are in local timezone,,,,,,,Concord Municipal Airport(CON/KCON),"Tuesday, Mar 12 2024"
