Load earlier flights,,,,,,,Aiken Municipal Airport(AIK/KAIK),
Loading...,,,,,,,Aiken Municipal Airport(AIK/KAIK),
"Sorry, we don't have any information about flights for this airport",,,,,,,Aiken Municipal Airport(AIK/KAIK),
Landed 09:19 09:17  Tampa(TPA) PRM1N64PM -,,,,,,,Aiken Municipal Airport(AIK/KAIK),
Landed 11:29 11:42  Stuart(SUA) C25BN1H -,,,,,,,Aiken Municipal Airport(AIK/KAIK),
Landed 16:56 16:57  Savannah(SAV) SR20N20AY -,,,,,,,Aiken Municipal Airport(AIK/KAIK),
Landed 20:08 19:44  Muscle Shoals(MSL) BE58N750H -,,,,,,,Aiken Municipal Airport(AIK/KAIK),
Landed 19:41 19:54  St. Augustine(UST) AESTN114VF -,,,,,,,Aiken Municipal Airport(AIK/KAIK),
Landed 09:19 09:17  Tampa(TPA) PRM1N64PM -,,,,,,,Aiken Municipal Airport(AIK/KAIK),
Landed 11:29 11:42  Stuart(SUA) C25BN1H -,,,,,,,Aiken Municipal Airport(AIK/KAIK),
Landed 16:56 16:57  Savannah(SAV) SR20N20AY -,,,,,,,Aiken Municipal Airport(AIK/KAIK),
Landed 20:08 19:44  Muscle Shoals(MSL) BE58N750H -,,,,,,,Aiken Municipal Airport(AIK/KAIK),
Landed 19:41 19:54  St. Augustine(UST) AESTN114VF -,,,,,,,Aiken Municipal Airport(AIK/KAIK),
Landed 09:19 09:17  Tampa(TPA) PRM1N64PM -,,,,,,,Aiken Municipal Airport(AIK/KAIK),
Landed 11:29 11:42  Stuart(SUA) C25BN1H -,,,,,,,Aiken Municipal Airport(AIK/KAIK),
Landed 16:56 16:57  Savannah(SAV) SR20N20AY -,,,,,,,Aiken Municipal Airport(AIK/KAIK),
Landed 20:08 19:44  Muscle Shoals(MSL) BE58N750H -,,,,,,,Aiken Municipal Airport(AIK/KAIK),
Landed 19:41 19:54  St. Augustine(UST) AESTN114VF -,,,,,,,Aiken Municipal Airport(AIK/KAIK),
Landed 09:19 09:17  Tampa(TPA) PRM1N64PM -,,,,,,,Aiken Municipal Airport(AIK/KAIK),
Landed 11:29 11:42  Stuart(SUA) C25BN1H -,,,,,,,Aiken Municipal Airport(AIK/KAIK),
Landed 16:56 16:57  Savannah(SAV) SR20N20AY -,,,,,,,Aiken Municipal Airport(AIK/KAIK),
Landed 20:08 19:44  Muscle Shoals(MSL) BE58N750H -,,,,,,,Aiken Municipal Airport(AIK/KAIK),
Landed 19:41 19:54  St. Augustine(UST) AESTN114VF -,,,,,,,Aiken Municipal Airport(AIK/KAIK),
Landed 09:19 09:17  Tampa(TPA) PRM1N64PM -,,,,,,,Aiken Municipal Airport(AIK/KAIK),
Landed 11:29 11:42  Stuart(SUA) C25BN1H -,,,,,,,Aiken Municipal Airport(AIK/KAIK),
Landed 16:56 16:57  Savannah(SAV) SR20N20AY -,,,,,,,Aiken Municipal Airport(AIK/KAIK),
Landed 20:08 19:44  Muscle Shoals(MSL) BE58N750H -,,,,,,,Aiken Municipal Airport(AIK/KAIK),
Landed 19:41 19:54  St. Augustine(UST) AESTN114VF -,,,,,,,Aiken Municipal Airport(AIK/KAIK),
Scheduled  09:27 LAK65 West Palm Beach(PBI) C560Red Wing Aviation -,,,,,,,Aiken Municipal Airport(AIK/KAIK),
Scheduled  12:24 EJA395 Charleston(CHS) E55PNetJets -,,,,,,,Aiken Municipal Airport(AIK/KAIK),
Scheduled  09:27 LAK65 West Palm Beach(PBI) C560Red Wing Aviation -,,,,,,,Aiken Municipal Airport(AIK/KAIK),
Scheduled  12:24 EJA395 Charleston(CHS) E55PNetJets -,,,,,,,Aiken Municipal Airport(AIK/KAIK),
Scheduled  09:27 LAK65 West Palm Beach(PBI) C560Red Wing Aviation -,,,,,,,Aiken Municipal Airport(AIK/KAIK),
