Load earlier flights,,,,,,,Clemson Oconee County Regional Airport(CEU/KCEU)
Loading...,,,,,,,Clemson Oconee County Regional Airport(CEU/KCEU)
"Sorry, we don't have any information about flights for this airport",,,,,,,Clemson Oconee County Regional Airport(CEU/KCEU)
07:12,EJA906,Columbus (CMH)-,NetJets -,C68A (N906QS),,Scheduled,Clemson Oconee County Regional Airport(CEU/KCEU),"Wednesday, Mar 13 2024"
12:42,EJA390,Pontiac (PTK)-,NetJets -,E55P (),,Scheduled,Clemson Oconee County Regional Airport(CEU/KCEU),"Wednesday, Mar 13 2024"
13:52,LJY47,Athens (AHN)-,L.J. Aviation -,C56X (),,Scheduled,Clemson Oconee County Regional Airport(CEU/KCEU),"Wednesday, Mar 13 2024"
07:12,EJA906,Columbus (CMH)-,NetJets -,C68A (N906QS),,Scheduled,Clemson Oconee County Regional Airport(CEU/KCEU),"Wednesday, Mar 13 2024"
12:42,EJA390,Pontiac (PTK)-,NetJets -,E55P (),,Scheduled,Clemson Oconee County Regional Airport(CEU/KCEU),"Wednesday, Mar 13 2024"
13:52,LJY47,Athens (AHN)-,L.J. Aviation -,C56X (),,Scheduled,Clemson Oconee County Regional Airport(CEU/KCEU),"Wednesday, Mar 13 2024"
07:12,EJA906,Columbus (CMH)-,NetJets -,C68A (N906QS),,Scheduled,Clemson Oconee County Regional Airport(CEU/KCEU),"Wednesday, Mar 13 2024"
12:42,EJA390,Pontiac (PTK)-,NetJets -,E55P (),,Scheduled,Clemson Oconee County Regional Airport(CEU/KCEU),"Wednesday, Mar 13 2024"
13:52,LJY47,Athens (AHN)-,L.J. Aviation -,C56X (),,Scheduled,Clemson Oconee County Regional Airport(CEU/KCEU),"Wednesday, Mar 13 2024"
Load later flights,,,,,,,Clemson Oconee County Regional Airport(CEU/KCEU),"Wednesday, Mar 13 2024"
* All times are in local timezone,,,,,,,Clemson Oconee County Regional Airport(CEU/KCEU),"Wednesday, Mar 13 2024"
