Load earlier flights,,,,,,,Jacksonville Cecil Airport(VQQ/KVQQ)
Loading...,,,,,,,Jacksonville Cecil Airport(VQQ/KVQQ)
"Sorry, we don't have any information about flights for this airport",,,,,,,Jacksonville Cecil Airport(VQQ/KVQQ)
13:45,,Macon (MCN)-,-,PC12 (N202PE),,Departed 14:49,Jacksonville Cecil Airport(VQQ/KVQQ),"Tuesday, Mar 12 2024"
15:45,ERU831,Daytona Beach (DAB)-,Embry-Riddle Aeronautical University -,C172 (N831ER),,Departed 16:13,Jacksonville Cecil Airport(VQQ/KVQQ),"Tuesday, Mar 12 2024"
19:59,LBQ783,Gainesville (GNV)-,Quest Diagnostics -,EP1 (),,Unknown,Jacksonville Cecil Airport(VQQ/KVQQ),"Tuesday, Mar 12 2024"
23:15,WCP248,Fort Pierce (FPR)-,Aviator College -,P28A (N453ND),,Departed 23:12,Jacksonville Cecil Airport(VQQ/KVQQ),"Tuesday, Mar 12 2024"
"Thursday, Mar 14",,,,,,,Jacksonville Cecil Airport(VQQ/KVQQ)
20:00,LBQ783,Gainesville (GNV)-,Quest Diagnostics -,EP1 (),,Scheduled,Jacksonville Cecil Airport(VQQ/KVQQ),"Thursday, Mar 14 2024"
20:00,LBQ783,Gainesville (GNV)-,Quest Diagnostics -,EP1 (),,Scheduled,Jacksonville Cecil Airport(VQQ/KVQQ),"Thursday, Mar 14 2024"
20:00,LBQ783,Gainesville (GNV)-,Quest Diagnostics -,EP1 (),,Scheduled,Jacksonville Cecil Airport(VQQ/KVQQ),"Thursday, Mar 14 2024"
20:00,LBQ783,Gainesville (GNV)-,Quest Diagnostics -,EP1 (),,Scheduled,Jacksonville Cecil Airport(VQQ/KVQQ),"Thursday, Mar 14 2024"
20:00,LBQ783,Gainesville (GNV)-,Quest Diagnostics -,EP1 (),,Scheduled,Jacksonville Cecil Airport(VQQ/KVQQ),"Thursday, Mar 14 2024"
20:00,LBQ783,Gainesville (GNV)-,Quest Diagnostics -,EP1 (),,Scheduled,Jacksonville Cecil Airport(VQQ/KVQQ),"Thursday, Mar 14 2024"
Load later flights,,,,,,,Jacksonville Cecil Airport(VQQ/KVQQ),"Thursday, Mar 14 2024"
* All times are in local timezone,,,,,,,Jacksonville Cecil Airport(VQQ/KVQQ),"Thursday, Mar 14 2024"
