Name
Apple Valley Airport(APV/KAPV)
Anvik Airport(ANV/PANV)
Athens Gordon K. Bush Airport(ATO/KUNI)
Artesia Municipal Airport(ATS/KATS)
Alamosa San Luis Valley Regional Airport(ALS/KALS)
Alliance Municipal Airport(AIA/KAIA)
Annapolis Lee Airport(ANP/KANP)
Ankeny Regional Airport(QQK/KIKV)
Atlanta Hartsfield-Jackson International Airport(ATL/KATL)
Asheville Regional Airport(AVL/KAVL)
Atwater Castle Airport(MER/KMER)
Alice International Airport(ALI/KALI)
Aniak Airport(ANI/PANI)
Anaktuvuk Pass Airport(AKP/PAKP)
Apalachicola Regional Airport(AAF/KAAF)
Adak Airport(ADK/PADK)
Amarillo Tradewind Airport(TDW/KTDW)
Albuquerque International Airport(ABQ/KABQ)
Athens McMinn County Airport(MMI/KMMI)
Akron Fulton International Airport(AKC/KAKR)
Alamogordo White Sands Regional Airport(ALM/KALM)
Abingdon Virginia Highlands Airport(VJI/KVJI)
Anderson Regional Airport(AND/KAND)
Atlanta Regional Airport(QTF/KFFC)
Allakaket Airport(AET/PFAL)
Arctic Village(ARC/PARC)
Alexander City Thomas C Russell Field(ALX/KALX)
Atlantic City International Airport(ACY/KACY)
Alexandria Municipal Airport(AXN/KAXN)
Akron Canton Airport(CAK/KCAK)
Ambler Airport(ABL/PAFM)
Aspen Pitkin County Airport(ASE/KASE)
Arlington Municipal Airport(QQW/KAWO)
Afton Municipal Airport(AFO/KAFO)
Alakanuk Airport(AUK/PAUK)
Aberdeen Regional Airport(ABR/KABR)
Ann Arbor Municipal Airport(ARB/KARB)
Atlanta Fulton County Airport(FTY/KFTY)
Auburn Municipal Airport(AUN/KAUN)
Alton St. Louis Regional Airport(ALN/KALN)
Abilene Regional Airport(ABI/KABI)
Anniston Regional(ANB/KANB)
Atlantic City Monmouth Executive Airport(BLM/KBLM)
Akiak Airport(AKI/PFAK)
Anchorage Elmendorf Air Force Base(EDF/PAED)
Anchorage Ted Stevens International Airport(ANC/PANC)
Ardmore Municipal Airport(ADM/KADM)
Astoria Regional Airport(AST/KAST)
Athens Ben Epps Airport(AHN/KAHN)
Arlington Municipal Airport(QQG/KGKY)
Atlanta DeKalb Peachtree Airport(PDK/KPDK)
Anchorage Merrill Field Airport(MRI/PAMR)
Ada Municipal Airport(ADT/KADH)
Amarillo Rick Husband  International Airport(AMA/KAMA)
Ames Municipal Airport(AMW/KAMW)
Alpena County Regional Airport(APN/KAPN)
Angola Tri-State Steuben County Airport(ANQ/KANQ)
Allentown Lehigh Valley International Airport(ABE/KABE)
Arcata Eureka Airport(ACV/KACV)
Altoona Blair County Airport(AOO/KAOO)
Appleton International Airport(ATW/KATW)
Atqasuk Airport(ATK/PATQ)
Anderson Municipal Airport(AID/KAID)
Atlanta Cobb County Airport(QQR/KRYY)
Aiken Municipal Airport(AIK/KAIK)
Alexandria International Airport(AEX/KAEX)
Albany Southwest Georgia Regional Airport(ABY/KABY)
Adrian Lenawee County Airport(ADG/KADG)
Albany International Airport(ALB/KALB)
