Load earlier flights,,,,,,,Auburn Municipal Airport(AUN/KAUN)
Loading...,,,,,,,Auburn Municipal Airport(AUN/KAUN)
"Sorry, we don't have any information about flights for this airport",,,,,,,Auburn Municipal Airport(AUN/KAUN)
Landed 19:57 19:59  Santa Ana(SNA) BE58N338TK -,,,,,,,Auburn Municipal Airport(AUN/KAUN)
Landed 19:57 19:59  Santa Ana(SNA) BE58N338TK -,,,,,,,Auburn Municipal Airport(AUN/KAUN)
Landed 19:57 19:59  Santa Ana(SNA) BE58N338TK -,,,,,,,Auburn Municipal Airport(AUN/KAUN)
Landed 19:57 19:59  Santa Ana(SNA) BE58N338TK -,,,,,,,Auburn Municipal Airport(AUN/KAUN)
Landed 19:57 19:59  Santa Ana(SNA) BE58N338TK -,,,,,,,Auburn Municipal Airport(AUN/KAUN)
"Wednesday, Mar 13",,,,,,,Auburn Municipal Airport(AUN/KAUN)
19:59,,Santa Ana (SNA)-,-,BE58 (N338TK),,Landed 19:57,Auburn Municipal Airport(AUN/KAUN),"Wednesday, Mar 13 2024"
19:59,,Santa Ana (SNA)-,-,BE58 (N338TK),,Landed 19:57,Auburn Municipal Airport(AUN/KAUN),"Wednesday, Mar 13 2024"
19:59,,Santa Ana (SNA)-,-,BE58 (N338TK),,Landed 19:57,Auburn Municipal Airport(AUN/KAUN),"Wednesday, Mar 13 2024"
19:59,,Santa Ana (SNA)-,-,BE58 (N338TK),,Landed 19:57,Auburn Municipal Airport(AUN/KAUN),"Wednesday, Mar 13 2024"
19:59,,Santa Ana (SNA)-,-,BE58 (N338TK),,Landed 19:57,Auburn Municipal Airport(AUN/KAUN),"Wednesday, Mar 13 2024"
Load later flights,,,,,,,Auburn Municipal Airport(AUN/KAUN),"Wednesday, Mar 13 2024"
* All times are in local timezone,,,,,,,Auburn Municipal Airport(AUN/KAUN),"Wednesday, Mar 13 2024"
