Load earlier flights,,,,,,,Afton Municipal Airport(AFO/KAFO)
Loading...,,,,,,,Afton Municipal Airport(AFO/KAFO)
"Sorry, we don't have any information about flights for this airport",,,,,,,Afton Municipal Airport(AFO/KAFO)
Departed 07:13 07:20  Evanston(EVW) BE20N999MM -,,,,,,,Afton Municipal Airport(AFO/KAFO)
Departed 07:13 07:20  Evanston(EVW) BE20N999MM -,,,,,,,Afton Municipal Airport(AFO/KAFO)
Departed 07:13 07:20  Evanston(EVW) BE20N999MM -,,,,,,,Afton Municipal Airport(AFO/KAFO)
Departed 07:13 07:20  Evanston(EVW) BE20N999MM -,,,,,,,Afton Municipal Airport(AFO/KAFO)
Departed 07:13 07:20  Evanston(EVW) BE20N999MM -,,,,,,,Afton Municipal Airport(AFO/KAFO)
"Wednesday, Mar 13",,,,,,,Afton Municipal Airport(AFO/KAFO)
07:20,,Evanston (EVW)-,-,BE20 (N999MM),,Departed 07:13,Afton Municipal Airport(AFO/KAFO),"Wednesday, Mar 13 2024"
07:20,,Evanston (EVW)-,-,BE20 (N999MM),,Departed 07:13,Afton Municipal Airport(AFO/KAFO),"Wednesday, Mar 13 2024"
07:20,,Evanston (EVW)-,-,BE20 (N999MM),,Departed 07:13,Afton Municipal Airport(AFO/KAFO),"Wednesday, Mar 13 2024"
07:20,,Evanston (EVW)-,-,BE20 (N999MM),,Departed 07:13,Afton Municipal Airport(AFO/KAFO),"Wednesday, Mar 13 2024"
07:20,,Evanston (EVW)-,-,BE20 (N999MM),,Departed 07:13,Afton Municipal Airport(AFO/KAFO),"Wednesday, Mar 13 2024"
Loading later flights...,,,,,,,Afton Municipal Airport(AFO/KAFO),"Wednesday, Mar 13 2024"
* All times are in local timezone,,,,,,,Afton Municipal Airport(AFO/KAFO),"Wednesday, Mar 13 2024"
